competition,country,link,mark,name,position,sport
Bruxelles Memorial Van Damme - 08–09 SEP 2016,USA,,['19.98'],Michelle CARTER,"(['1.'],)","([""Women's Shot Put""],)"
Bruxelles Memorial Van Damme - 08–09 SEP 2016,NZL,,['19.57'],Valerie ADAMS,"(['2.'],)","([""Women's Shot Put""],)"
Bruxelles Memorial Van Damme - 08–09 SEP 2016,HUN,,['19.11'],Anita MÁRTON,"(['3.'],)","([""Women's Shot Put""],)"
Bruxelles Memorial Van Damme - 08–09 SEP 2016,USA,,['18.66'],Brittany SMITH,"(['4.'],)","([""Women's Shot Put""],)"
Bruxelles Memorial Van Damme - 08–09 SEP 2016,BLR,,['17.79'],Aliona DUBITSKAYA,"(['5.'],)","([""Women's Shot Put""],)"
Bruxelles Memorial Van Damme - 08–09 SEP 2016,TTO,,['17.59'],Cleopatra BOREL,"(['6.'],)","([""Women's Shot Put""],)"
Bruxelles Memorial Van Damme - 08–09 SEP 2016,NED,,['17.17'],Melissa BOEKELMAN,"(['7.'],)","([""Women's Shot Put""],)"
Bruxelles Memorial Van Damme - 08–09 SEP 2016,CAN,,['16.95'],Brittany CREW,"(['8.'],)","([""Women's Shot Put""],)"
Bruxelles Memorial Van Damme - 08–09 SEP 2016,BEL,,['15.99'],Jolien BOUMKWO,"(['9.'],)","([""Women's Shot Put""],)"
