competition,country,link,mark,name,position,sport
Eugene Prefontaine Classic - 25–26 MAY 2018,USA,,['22.53'],Ryan CROUSER,"(['1.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 25–26 MAY 2018,POL,,['21.97'],Michał HARATYK,"(['2.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 25–26 MAY 2018,BRA,,['21.95'],Darlan ROMANI,"(['3.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 25–26 MAY 2018,NZL,,['21.84'],Tom WALSH,"(['4.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 25–26 MAY 2018,USA,,['21.19'],Darrell HILL,"(['5.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 25–26 MAY 2018,USA,,['20.64'],Ryan WHITING,"(['6.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 25–26 MAY 2018,GER,,['20.49'],David STORL,"(['7.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 25–26 MAY 2018,USA,,['20.36'],Joe KOVACS,"(['8.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 25–26 MAY 2018,POL,,['20.12'],Konrad BUKOWIECKI,"(['9.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 25–26 MAY 2018,CRO,,['19.91'],Stipe ŽUNIĆ,"(['10.'],)","([""Men's Shot Put""],)"
