competition,country,link,mark,name,position,sport
Doha IAAF Diamond League - 09 MAY 2014,NZL,,['20.20'],Valerie ADAMS,"(['1.'],)","([""Women's Shot Put""],)"
Doha IAAF Diamond League - 09 MAY 2014,BLR,,['18.78'],Yuliya LEANTSIUK,"(['2.'],)","([""Women's Shot Put""],)"
Doha IAAF Diamond League - 09 MAY 2014,HUN,,['18.32'],Anita MÁRTON,"(['3.'],)","([""Women's Shot Put""],)"
Doha IAAF Diamond League - 09 MAY 2014,USA,,['18.06'],Tia BROOKS-WANNEMACHER,"(['4.'],)","([""Women's Shot Put""],)"
Doha IAAF Diamond League - 09 MAY 2014,BLR,,['17.69'],Alena ABRAMCHUK,"(['5.'],)","([""Women's Shot Put""],)"
Doha IAAF Diamond League - 09 MAY 2014,NED,,['17.51'],Melissa BOEKELMAN,"(['6.'],)","([""Women's Shot Put""],)"
Doha IAAF Diamond League - 09 MAY 2014,GER,,['17.47'],Shanice CRAFT,"(['7.'],)","([""Women's Shot Put""],)"
Doha IAAF Diamond League - 09 MAY 2014,FRA,,['16.97'],Jessica CÉRIVAL,"(['8.'],)","([""Women's Shot Put""],)"
