competition,country,gender,link,mark,name,position,sport
Doha IAAF Diamond League - 15 MAY 2015,GER,M,,['21.51'],David STORL,1,Shot Put
Doha IAAF Diamond League - 15 MAY 2015,USA,M,,['21.30'],Reese HOFFA,2,Shot Put
Doha IAAF Diamond League - 15 MAY 2015,USA,M,,['21.06'],Ryan WHITING,3,Shot Put
Doha IAAF Diamond League - 15 MAY 2015,USA,M,,['20.86'],Joe KOVACS,4,Shot Put
Doha IAAF Diamond League - 15 MAY 2015,SRB,M,,['20.44'],Asmir KOLAŠINAC,5,Shot Put
Doha IAAF Diamond League - 15 MAY 2015,ARG,M,,['20.26'],Germán Luján LAURO,6,Shot Put
Doha IAAF Diamond League - 15 MAY 2015,ESP,M,,['19.91'],Borja VIVAS,7,Shot Put
Doha IAAF Diamond League - 15 MAY 2015,JAM,M,,['19.89'],O'Dayne RICHARDS,8,Shot Put
Doha IAAF Diamond League - 15 MAY 2015,USA,M,,['18.22'],Kurt ROBERTS,9,Shot Put
