competition,country,link,mark,name,position,sport
Doha IAAF Diamond League - 15 MAY 2015,GER,,['21.51'],David STORL,"(['1.'],)","([""Men's Shot Put""],)"
Doha IAAF Diamond League - 15 MAY 2015,USA,,['21.30'],Reese HOFFA,"(['2.'],)","([""Men's Shot Put""],)"
Doha IAAF Diamond League - 15 MAY 2015,USA,,['21.06'],Ryan WHITING,"(['3.'],)","([""Men's Shot Put""],)"
Doha IAAF Diamond League - 15 MAY 2015,USA,,['20.86'],Joe KOVACS,"(['4.'],)","([""Men's Shot Put""],)"
Doha IAAF Diamond League - 15 MAY 2015,SRB,,['20.44'],Asmir KOLAŠINAC,"(['5.'],)","([""Men's Shot Put""],)"
Doha IAAF Diamond League - 15 MAY 2015,ARG,,['20.26'],Germán Luján LAURO,"(['6.'],)","([""Men's Shot Put""],)"
Doha IAAF Diamond League - 15 MAY 2015,ESP,,['19.91'],Borja VIVAS,"(['7.'],)","([""Men's Shot Put""],)"
Doha IAAF Diamond League - 15 MAY 2015,JAM,,['19.89'],O'Dayne RICHARDS,"(['8.'],)","([""Men's Shot Put""],)"
Doha IAAF Diamond League - 15 MAY 2015,USA,,['18.22'],Kurt ROBERTS,"(['9.'],)","([""Men's Shot Put""],)"
