competition,country,gender,link,mark,name,position,sport
Prefontaine Classic - 27–28 MAY 2022,USA,M,,['23.02'],Ryan CROUSER,1,Shot Put
Prefontaine Classic - 27–28 MAY 2022,USA,M,,['22.49'],Joe KOVACS,2,Shot Put
Prefontaine Classic - 27–28 MAY 2022,NZL,M,,['21.96'],Tom WALSH,3,Shot Put
Prefontaine Classic - 27–28 MAY 2022,USA,M,,['21.84'],Darrell HILL,4,Shot Put
Prefontaine Classic - 27–28 MAY 2022,ITA,M,,['20.92'],Zane WEIR,5,Shot Put
Prefontaine Classic - 27–28 MAY 2022,ITA,M,,['20.87'],Nick PONZIO,6,Shot Put
