competition,country,gender,link,mark,name,position,sport
Eugene Prefontaine Classic - 26–27 MAY 2017,USA,M,,['22.43'],Ryan CROUSER,1,Shot Put
Eugene Prefontaine Classic - 26–27 MAY 2017,NZL,M,,['21.71'],Tom WALSH,2,Shot Put
Eugene Prefontaine Classic - 26–27 MAY 2017,USA,M,,['21.44'],Joe KOVACS,3,Shot Put
Eugene Prefontaine Classic - 26–27 MAY 2017,USA,M,,['21.20'],Darrell HILL,4,Shot Put
Eugene Prefontaine Classic - 26–27 MAY 2017,GER,M,,['20.63'],David STORL,5,Shot Put
Eugene Prefontaine Classic - 26–27 MAY 2017,CGO,M,,['20.56'],Franck ELEMBA,6,Shot Put
Eugene Prefontaine Classic - 26–27 MAY 2017,POL,M,,['20.29'],Konrad BUKOWIECKI,7,Shot Put
Eugene Prefontaine Classic - 26–27 MAY 2017,USA,M,,['19.80'],Kurt ROBERTS,8,Shot Put
