competition,country,gender,link,mark,name,position,sport
	IAAF World Indoor Championships 2016,NZL,M,https://www.worldathletics.org/athletes/new-zealand/tomas-walsh-14413007,21.78,Tomas WALSH,1,Shot Put
	IAAF World Indoor Championships 2016,ROU,M,https://www.worldathletics.org/athletes/romania/andrei-gag-14219308,20.89,Andrei Marius GAG,2,Shot Put
	IAAF World Indoor Championships 2016,CRO,M,https://www.worldathletics.org/athletes/croatia/filip-mihaljevic-14523988,20.87,Filip MIHALJEVIĆ,3,Shot Put
	IAAF World Indoor Championships 2016,POL,M,https://www.worldathletics.org/athletes/poland/konrad-bukowiecki-14500229,20.53,Konrad BUKOWIECKI,4,Shot Put
	IAAF World Indoor Championships 2016,USA,M,https://www.worldathletics.org/athletes/united-states/jonathan-jones-14460417,20.31,Jonathan JONES,5,Shot Put
	IAAF World Indoor Championships 2016,ARG,M,https://www.worldathletics.org/athletes/argentina/germán-lauro-14180399,20.24,Germán LAURO,6,Shot Put
	IAAF World Indoor Championships 2016,CAN,M,https://www.worldathletics.org/athletes/canada/tim-nedow-14364723,20.23,Tim NEDOW,7,Shot Put
	IAAF World Indoor Championships 2016,GER,M,https://www.worldathletics.org/athletes/germany/tobias-dahm-14191800,20.22,Tobias DAHM,8,Shot Put
	IAAF World Indoor Championships 2016,NZL,M,https://www.worldathletics.org/athletes/new-zealand/jacko-gill-14382701,19.93,Jacko GILL,9,Shot Put
	IAAF World Indoor Championships 2016,ESP,M,https://www.worldathletics.org/athletes/spain/carlos-tobalina-14164861,19.86,Carlos TOBALINA,10,Shot Put
	IAAF World Indoor Championships 2016,ESP,M,https://www.worldathletics.org/athletes/spain/borja-vivas-14164687,19.85,Borja VIVAS,11,Shot Put
	IAAF World Indoor Championships 2016,NGR,M,https://www.worldathletics.org/athletes/nigeria/stephen-mozia-14440705,19.84,Stephen MOZIA,12,Shot Put
	IAAF World Indoor Championships 2016,EGY,M,https://www.worldathletics.org/athletes/egypt/mostafa-amr-hassan-14643432,19.81,Mostafa Amr HASSAN,13,Shot Put
	IAAF World Indoor Championships 2016,POL,M,https://www.worldathletics.org/athletes/poland/michal-haratyk-14471190,19.48,Michał HARATYK,14,Shot Put
	IAAF World Indoor Championships 2016,LUX,M,https://www.worldathletics.org/athletes/luxembourg/bob-bertemes-14558608,19.48,Bob BERTEMES,15,Shot Put
	IAAF World Indoor Championships 2016,CZE,M,https://www.worldathletics.org/athletes/czech-republic/tomáš-stanek-14379859,19.46,Tomáš STANĚK,16,Shot Put
	IAAF World Indoor Championships 2016,CGO,M,https://www.worldathletics.org/athletes/congo/franck-elemba-14381771,19.34,Franck ELEMBA,17,Shot Put
	IAAF World Indoor Championships 2016,BRA,M,https://www.worldathletics.org/athletes/brazil/darlan-romani-14377465,18.50,Darlan ROMANI,18,Shot Put
	IAAF World Indoor Championships 2016,USA,M,https://www.worldathletics.org/athletes/united-states/kurt-roberts-14249711,17.94,Kurt ROBERTS,19,Shot Put
