competition,country,gender,link,mark,name,position,sport
Meeting de Paris - 01 JUL 2017,CHN,F,,['19.14'],Lijiao GONG,1,Shot Put
Meeting de Paris - 01 JUL 2017,HUN,F,,['18.48'],Anita MÁRTON,2,Shot Put
Meeting de Paris - 01 JUL 2017,BLR,F,,['18.28'],Yuliya LEANTSIUK,3,Shot Put
Meeting de Paris - 01 JUL 2017,BLR,F,,['18.23'],Aliona DUBITSKAYA,4,Shot Put
Meeting de Paris - 01 JUL 2017,POL,F,,['17.78'],Paulina GUBA,5,Shot Put
Meeting de Paris - 01 JUL 2017,SWE,F,,['17.68'],Fanny ROOS,6,Shot Put
Meeting de Paris - 01 JUL 2017,BRA,F,,['17.36'],Geisa ARCANJO,7,Shot Put
Meeting de Paris - 01 JUL 2017,NED,F,,['17.22'],Melissa BOEKELMAN,8,Shot Put
