competition,country,gender,link,mark,name,position,sport
Bruxelles Memorial Van Damme - 31 AUG–01 SEP 2017,USA,M,,['22.44'],Darrell HILL,1,Shot Put
Bruxelles Memorial Van Damme - 31 AUG–01 SEP 2017,USA,M,,['22.37'],Ryan CROUSER,2,Shot Put
Bruxelles Memorial Van Damme - 31 AUG–01 SEP 2017,USA,M,,['21.62'],Joe KOVACS,3,Shot Put
Bruxelles Memorial Van Damme - 31 AUG–01 SEP 2017,GER,M,,['21.47'],David STORL,4,Shot Put
Bruxelles Memorial Van Damme - 31 AUG–01 SEP 2017,CZE,M,,['21.39'],Tomáš STANĚK,5,Shot Put
Bruxelles Memorial Van Damme - 31 AUG–01 SEP 2017,NZL,M,,['21.38'],Tom WALSH,6,Shot Put
Bruxelles Memorial Van Damme - 31 AUG–01 SEP 2017,JAM,M,,['21.07'],O'Dayne RICHARDS,7,Shot Put
Bruxelles Memorial Van Damme - 31 AUG–01 SEP 2017,POL,M,,['20.54'],Konrad BUKOWIECKI,8,Shot Put
