competition,country,link,mark,name,position,sport
Eugene Prefontaine Classic - 29–30 MAY 2015,USA,,['22.12'],Joe KOVACS,"(['1.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 29–30 MAY 2015,GER,,['21.92'],David STORL,"(['2.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 29–30 MAY 2015,USA,,['21.37'],Ryan WHITING,"(['3.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 29–30 MAY 2015,NZL,,['20.81'],Tom WALSH,"(['4.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 29–30 MAY 2015,POL,,['20.23'],Tomasz MAJEWSKI,"(['5.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 29–30 MAY 2015,USA,,['20.21'],Reese HOFFA,"(['6.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 29–30 MAY 2015,JAM,,['20.06'],O'Dayne RICHARDS,"(['7.'],)","([""Men's Shot Put""],)"
Eugene Prefontaine Classic - 29–30 MAY 2015,USA,,['19.79'],Kurt ROBERTS,"(['8.'],)","([""Men's Shot Put""],)"
