competition,country,link,mark,name,position,sport
Shanghai IAAF Diamond League - 13 MAY 2017,CHN,,['19.46'],Lijiao GONG,"(['1.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 13 MAY 2017,USA,,['18.98'],Daniella HILL,"(['2.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 13 MAY 2017,HUN,,['18.69'],Anita MÁRTON,"(['3.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 13 MAY 2017,CHN,,['18.18'],Ka BIAN,"(['4.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 13 MAY 2017,USA,,['17.95'],Brittany SMITH,"(['5.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 13 MAY 2017,NED,,['17.83'],Melissa BOEKELMAN,"(['6.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 13 MAY 2017,BLR,,['17.70'],Yuliya LEANTSIUK,"(['7.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 13 MAY 2017,TTO,,['17.64'],Cleopatra BOREL,"(['8.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 13 MAY 2017,USA,,['17.47'],Felisha JOHNSON,"(['9.'],)","([""Women's Shot Put""],)"
Shanghai IAAF Diamond League - 13 MAY 2017,CHN,,['17.40'],Yang GAO,"(['10.'],)","([""Women's Shot Put""],)"
