competition,country,gender,link,mark,name,position,sport
Eugene Prefontaine Classic - 30–31 MAY 2014,USA,M,,['21.64'],Reese HOFFA,1,Shot Put
Eugene Prefontaine Classic - 30–31 MAY 2014,USA,M,,['21.46'],Joe KOVACS,2,Shot Put
Eugene Prefontaine Classic - 30–31 MAY 2014,USA,M,,['21.38'],Christian CANTWELL,3,Shot Put
Eugene Prefontaine Classic - 30–31 MAY 2014,USA,M,,['20.71'],Kurt ROBERTS,4,Shot Put
Eugene Prefontaine Classic - 30–31 MAY 2014,POL,M,,['20.59'],Tomasz MAJEWSKI,5,Shot Put
Eugene Prefontaine Classic - 30–31 MAY 2014,NZL,M,,['20.51'],Tom WALSH,6,Shot Put
Eugene Prefontaine Classic - 30–31 MAY 2014,ARG,M,,['20.09'],Germán Luján LAURO,7,Shot Put
Eugene Prefontaine Classic - 30–31 MAY 2014,CZE,M,,['18.92'],Ladislav PRÁŠIL,8,Shot Put
