competition,country,link,mark,name,position,sport
Paris Meeting AREVA - 05 JUL 2014 ,GER,,['21.41'],David STORL,"(['1.'],)","([""Men's Shot Put""],)"
Paris Meeting AREVA - 05 JUL 2014 ,USA,,['21.38'],Reese HOFFA,"(['2.'],)","([""Men's Shot Put""],)"
Paris Meeting AREVA - 05 JUL 2014 ,USA,,['20.67'],Kurt ROBERTS,"(['3.'],)","([""Men's Shot Put""],)"
Paris Meeting AREVA - 05 JUL 2014 ,POL,,['20.14'],Tomasz MAJEWSKI,"(['4.'],)","([""Men's Shot Put""],)"
Paris Meeting AREVA - 05 JUL 2014 ,USA,,['19.92'],Ryan WHITING,"(['5.'],)","([""Men's Shot Put""],)"
Paris Meeting AREVA - 05 JUL 2014 ,CZE,,['19.90'],Ladislav PRÁŠIL,"(['6.'],)","([""Men's Shot Put""],)"
Paris Meeting AREVA - 05 JUL 2014 ,POR,,['19.75'],Marco FORTES,"(['7.'],)","([""Men's Shot Put""],)"
Paris Meeting AREVA - 05 JUL 2014 ,USA,,['19.46'],Joe KOVACS,"(['8.'],)","([""Men's Shot Put""],)"
