competition,country,link,mark,name,position,sport
Shanghai Golden Grand Prix - 17 MAY 2015,CHN,,['20.23'],Lijiao GONG,"(['1.'],)","([""Women's Shot Put""],)"
Shanghai Golden Grand Prix - 17 MAY 2015,GER,,['19.94'],Christina SCHWANITZ,"(['2.'],)","([""Women's Shot Put""],)"
Shanghai Golden Grand Prix - 17 MAY 2015,USA,,['18.66'],Tia BROOKS-WANNEMACHER,"(['3.'],)","([""Women's Shot Put""],)"
Shanghai Golden Grand Prix - 17 MAY 2015,CHN,,['18.57'],Tianqian GUO,"(['4.'],)","([""Women's Shot Put""],)"
Shanghai Golden Grand Prix - 17 MAY 2015,HUN,,['18.57'],Anita MÁRTON,"(['5.'],)","([""Women's Shot Put""],)"
Shanghai Golden Grand Prix - 17 MAY 2015,TTO,,['18.32'],Cleopatra BOREL,"(['6.'],)","([""Women's Shot Put""],)"
Shanghai Golden Grand Prix - 17 MAY 2015,CHN,,['18.29'],Yang GAO,"(['7.'],)","([""Women's Shot Put""],)"
Shanghai Golden Grand Prix - 17 MAY 2015,BLR,,['18.00'],Yuliya LEANTSIUK,"(['8.'],)","([""Women's Shot Put""],)"
Shanghai Golden Grand Prix - 17 MAY 2015,USA,,['17.91'],Felisha JOHNSON,"(['9.'],)","([""Women's Shot Put""],)"
Shanghai Golden Grand Prix - 17 MAY 2015,USA,,['17.76'],Brittany SMITH,"(['10.'],)","([""Women's Shot Put""],)"
