competition,country,link,mark,name,position,sport
Shanghai Golden Grand Prix - 18 MAY 2014,USA,,['21.73'],Christian CANTWELL,"(['1.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,USA,,['21.52'],Joe KOVACS,"(['2.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,USA,,['21.31'],Ryan WHITING,"(['3.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,GER,,['21.09'],David STORL,"(['4.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,POL,,['20.93'],Tomasz MAJEWSKI,"(['5.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,USA,,['20.60'],Kurt ROBERTS,"(['6.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,USA,,['20.11'],Cory MARTIN,"(['7.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,BUL,,['20.06'],Georgi IVANOV,"(['8.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,JAM,,['19.78'],O'Dayne RICHARDS,"(['9.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,CHN,,['19.18'],Guangfu WANG,"(['10.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,TPE,,['19.18'],Minghuang CHANG,"(['11.'],)","([""Men's Shot Put""],)"
Shanghai Golden Grand Prix - 18 MAY 2014,CHN,,['18.33'],Zizhong TIAN,"(['12.'],)","([""Men's Shot Put""],)"
