competition,country,link,mark,name,position,sport
Meeting de Paris - 24 AUG 2019,NZL,,['22.44'],Tom WALSH,"(['1.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,USA,,['22.11'],Joe KOVACS,"(['2.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,BRA,,['21.56'],Darlan ROMANI,"(['3.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,POL,,['21.34'],Michał HARATYK,"(['4.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,CZE,,['21.30'],Tomáš STANĚK,"(['5.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,CRO,,['21.22'],Filip MIHALJEVIĆ,"(['6.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,POL,,['21.20'],Konrad BUKOWIECKI,"(['7.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,LUX,,['21.20'],Bob BERTEMES,"(['8.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,FRA,,['20.24'],Frédéric DAGEE,"(['9.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,FRA,,['17.08'],Kevin MAYER,"(['1.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,NED,,['15.07'],Pieter BRAUN,"(['2.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,GER,,['14.78'],Kai KAZMIREK,"(['3.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,ESP,,['14.15'],Jorge UREÑA,"(['4.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,USA,,['14.08'],Devon WILLIAMS,"(['5.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
Meeting de Paris - 24 AUG 2019,BEL,,['13.36'],Thomas VAN DER PLAETSEN,"(['6.'],)","([""Men's Shot Put"", ""Men's Shot Put""],)"
