competition,country,gender,link,mark,name,position,sport
TCS London Marathon - 23 APR 2023,KEN,M,,2:01:25,Kelvin KIPTUM,1,Marathon
TCS London Marathon - 23 APR 2023,KEN,M,,2:04:23,Geoffrey KAMWOROR,2,Marathon
TCS London Marathon - 23 APR 2023,ETH,M,,2:04:59,Tamirat TOLA,3,Marathon
TCS London Marathon - 23 APR 2023,ETH,M,,2:05:45,Leul GEBRESILASE,4,Marathon
TCS London Marathon - 23 APR 2023,ETH,M,,2:06:38,Seifu TURA,5,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:08:07,Emile CAIRESS,6,Marathon
TCS London Marathon - 23 APR 2023,AUS,M,,2:10:19,Brett ROBINSON,7,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:10:23,Philip SESEMANN,8,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:10:28,Mo FARAH,9,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:11:50,Chris THOMPSON,10,Marathon
TCS London Marathon - 23 APR 2023,USA,M,,2:13:29,Frank LARA,11,Marathon
TCS London Marathon - 23 APR 2023,GER,M,,2:13:29,Tom GRÖSCHEL,12,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:13:29,Luke CALDWELL,13,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:15:41,Weynay GHEBRESILASIE,14,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:15:47,Ben CONNOR,15,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:15:47,Ross BRADEN,16,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:16:18,Nick BOWKER,17,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:16:30,Alex MILNE,18,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:16:51,Dewi GRIFFITHS,19,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:18:34,Fraser STEWART,20,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:19:00,Ronnie RICHMOND,21,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:19:25,Matthew DICKINSON,22,Marathon
TCS London Marathon - 23 APR 2023,USA,M,,2:22:00,Alex MONROE,23,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,2:24:32,Nick EARL,24,Marathon
TCS London Marathon - 23 APR 2023,KEN,M,,DNF,Amos KIPRUTO,25,Marathon
TCS London Marathon - 23 APR 2023,ETH,M,,DNF,Birhanu LEGESE,26,Marathon
TCS London Marathon - 23 APR 2023,ETH,M,,DNF,Kinde ATANAW,27,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,DNF,Josh LUNN,28,Marathon
TCS London Marathon - 23 APR 2023,ETH,M,,DNF,Kenenisa BEKELE,29,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,DNF,Paulos SURAFEL,30,Marathon
TCS London Marathon - 23 APR 2023,KEN,M,,DNF,Stanley Kurgat RONO,31,Marathon
TCS London Marathon - 23 APR 2023,KEN,M,,DNF,Benard Kipkorir NGENO,32,Marathon
TCS London Marathon - 23 APR 2023,KEN,M,,DNF,Daniel MATEIKO,33,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,DNF,Andrew BUTCHART,34,Marathon
TCS London Marathon - 23 APR 2023,KEN,M,,DNF,Shadrack KIMINING,35,Marathon
TCS London Marathon - 23 APR 2023,ISR,M,,DNF,Maru TEFERI,36,Marathon
TCS London Marathon - 23 APR 2023,UGA,M,,DNF,Abel Boniface SIKOWO,37,Marathon
TCS London Marathon - 23 APR 2023,GBR,M,,DNF,Adam CLARKE,38,Marathon
