competition,country,link,mark,name,position,sport
"IAAF World Athletics Championships, DOHA 2019",ANA,https://www.worldathletics.org/athletes/authorised-neutral-athlete/fyodor-shutov-14223991,2:18:58,Fyodor SHUTOV,35,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",CAN,https://www.worldathletics.org/athletes/canada/john-mason-14389271,2:19:21,John MASON,36,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",JPN,https://www.worldathletics.org/athletes/japan/kohei-futaoka-14610341,2:19:23,Kohei FUTAOKA,37,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",USA,https://www.worldathletics.org/athletes/united-states/elkanah-kibet-14207993,2:19:33,Elkanah KIBET,38,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",AUS,https://www.worldathletics.org/athletes/australia/julian-spence-14380045,2:19:40,Julian SPENCE,39,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",MGL,https://www.worldathletics.org/athletes/mongolia/byambajav-tseveenravdan-14382710,2:20:07,Byambajav TSEVEENRAVDAN,40,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",AUT,https://www.worldathletics.org/athletes/austria/lemawork-ketema-14469221,2:20:45,Lemawork KETEMA,41,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",BEL,https://www.worldathletics.org/athletes/belgium/thomas-de-bock-14378328,2:21:13,Thomas DE BOCK,42,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",IRL,https://www.worldathletics.org/athletes/ireland/stephen-scullion-14199103,2:21:31,Stephen SCULLION,43,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",BRA,https://www.worldathletics.org/athletes/brazil/wellington-bezerra-da-silva-14432444,2:21:49,Wellington BEZERRA DA SILVA,44,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",CAN,https://www.worldathletics.org/athletes/canada/berhanu-degefa-14504796,2:22:28,Berhanu DEGEFA,45,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",USA,https://www.worldathletics.org/athletes/united-states/andrew-epperson-14511358,2:23:11,Andrew EPPERSON,46,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ZIM,https://www.worldathletics.org/athletes/zimbabwe/munyaradzi-jari-14386521,2:23:34,Munyaradzi JARI,47,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",LAT,https://www.worldathletics.org/athletes/latvia/dmitrijs-serjogins-14421218,2:24:00,Dmitrijs SERJOGINS,48,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",UZB,https://www.worldathletics.org/athletes/uzbekistan/andrey-petrov-14377286,2:24:54,Andrey PETROV,49,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",UKR,https://www.worldathletics.org/athletes/ukraine/ihor-porozov-14426958,2:26:11,Ihor POROZOV,50,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",BRA,https://www.worldathletics.org/athletes/brazil/vagner-da-silva-noronha-14663331,2:26:11,Vagner DA SILVA NORONHA,51,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ZIM,https://www.worldathletics.org/athletes/zimbabwe/isaac-mpofu-14654920,2:29:24,Isaac MPOFU,52,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",BLR,https://www.worldathletics.org/athletes/belarus/uladzislau-pramau-14330200,2:31:04,Uladzislau PRAMAU,53,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",MGL,https://www.worldathletics.org/athletes/mongolia/ser-od-bat-ochir-14867157,2:36:01,Ser-Od BAT-OCHIR,54,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",URU,https://www.worldathletics.org/athletes/uruguay/nicolás-cuestas-14230856,2:40:05,Nicolás CUESTAS,55,"(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",TUR,https://www.worldathletics.org/athletes/turkey/polat-kemboi-arikan-14207925,DNF,Polat Kemboi ARIKAN,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",PAR,https://www.worldathletics.org/athletes/paraguay/derlys-ayala-14216107,DNF,Derlys AYALA,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",CHN,https://www.worldathletics.org/athletes/pr-of-china/bujie-duo-14585328,DNF,Bujie DUO,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",MAR,https://www.worldathletics.org/athletes/morocco/mohamed-reda-el-aaraby-14420179,DNF,Mohamed Reda EL AARABY,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",TUR,https://www.worldathletics.org/athletes/turkey/mert-girmalegesse-14181495,DNF,Mert  GIRMALEGESSE ,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",TAN,https://www.worldathletics.org/athletes/tanzania/stephano-gwandu-huche-14329360,DNF,Stephano Gwandu HUCHE,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",BDI,https://www.worldathletics.org/athletes/burundi/olivier-irabaruta-14429242,DNF,Olivier IRABARUTA,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ERI,https://www.worldathletics.org/athletes/eritrea/merhawi-kesete-14625896,DNF,Merhawi KESETE,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",AZE,https://www.worldathletics.org/athletes/azerbaijan/evans-kiplagat-14328509,DNF,Evans KIPLAGAT,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",KEN,https://www.worldathletics.org/athletes/kenya/paul-lonyangata-14425821,DNF,Paul LONYANGATA,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ITA,https://www.worldathletics.org/athletes/italy/daniele-meucci-14200873,DNF,Daniele MEUCCI,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",RSA,https://www.worldathletics.org/athletes/south-africa/thabiso-benedict-moeng-14220641,DNF,Thabiso Benedict MOENG,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",UGA,https://www.worldathletics.org/athletes/uganda/solomon-mutai-14432818,DNF,Solomon MUTAI,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",THA,https://www.worldathletics.org/athletes/thailand/tony-ah-thit-payne-14386864,DNF,Tony Ah-Thit PAYNE,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",BRN,https://www.worldathletics.org/athletes/bahrain/benson-seurei-14420554,DNF,Benson SEUREI,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",TAN,https://www.worldathletics.org/athletes/tanzania/augustino-paulo-sulle-14757531,DNF,Augustino Paulo SULLE,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ERI,https://www.worldathletics.org/athletes/eritrea/okubay-tsegay-14725757,DNF,Okubay TSEGAY,"(None,)","(['Marathon'],)"
"IAAF World Athletics Championships, DOHA 2019",ETH,https://www.worldathletics.org/athletes/ethiopia/mule-wasihun-14544714,DNF,Mule WASIHUN,"(None,)","(['Marathon'],)"
