competition,country,gender,link,mark,name,position,sport
Tokyo Marathon - 25 FEB 2018,KEN,M,,2:05:30,Dickson CHUMBA,1,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:06:11,Yuta SHITARA,2,Marathon
Tokyo Marathon - 25 FEB 2018,KEN,M,,2:06:33,Amos KIPRUTO,3,Marathon
Tokyo Marathon - 25 FEB 2018,KEN,M,,2:06:47,Gideon Kipkemoi KIPKETER,4,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:06:54,Hiroto INOUE,5,Marathon
Tokyo Marathon - 25 FEB 2018,ETH,M,,2:07:30,Feyisa LILESA,6,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:08:08,Ryo KINAME,7,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:08:45,Chihiro MIYAWAKI,8,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:08:48,Kenji YAMAMOTO,9,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:08:58,Yuki SATO,10,Marathon
Tokyo Marathon - 25 FEB 2018,MAR,M,,2:09:18,Mohamed Reda EL AARABY,11,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:09:36,Kohei OGINO,12,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:09:43,Tadashi ISSHIKI,13,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:09:47,Akinobu MURASAWA,14,Marathon
Tokyo Marathon - 25 FEB 2018,KEN,M,,2:10:00,Simon KARIUKI,15,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:10:13,Asuka TANAKA,16,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:10:14,Hiroki YAMAGISHI,17,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:10:18,Daichi KAMINO,18,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:10:21,Kengo SUZUKI,19,Marathon
Tokyo Marathon - 25 FEB 2018,ETH,M,,2:10:26,Tsegaye MEKONNEN,20,Marathon
Tokyo Marathon - 25 FEB 2018,MEX,M,,2:10:55,Juan Luis BARRIOS,21,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:12:17,Hiroaki SANO,22,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:13:31,Masanori SAKAI,23,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:13:50,Kazuya ISHIDA,24,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:13:50,Yoshiki KOIZUMI,25,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:14:00,Issei IWASA,26,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:14:25,Kansuke MORIHASHI,27,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:14:25,Takahiro NAKAMURA,28,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:14:31,Yuya ASAGA,29,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:14:37,Satoru KASUYA,30,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:14:48,Kenichi JIROMARU,31,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:14:53,Sohei MORIKAWA,32,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:14:54,Masaki MATSUI,33,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:15:00,Junki ONISHI,34,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:15:09,Takashi ICHIDA,35,Marathon
Tokyo Marathon - 25 FEB 2018,MGL,M,,2:15:17,Ser-Od BAT-OCHIR,36,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:15:49,Hiromasa KUMAHASHI,37,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:15:51,Kinya HASHIRA,38,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:15:54,Kohei OSHITA,39,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:15:54,Teppei SUEGAMI,40,Marathon
Tokyo Marathon - 25 FEB 2018,ERI,M,,2:16:52,Kibrom WELDEMICAEL,41,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:17:27,Yoshiki KAWAUCHI,42,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:18:11,Rei OMORI,43,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:18:15,Naoki INOUE,44,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:18:22,Yusuke KODAMA,45,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:18:24,Hideaki YAMAUCHI,46,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:18:31,Masashi HASHIMOTO,47,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:18:33,Takeru ISHIHARA,48,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:18:34,Shusei OHASHI,49,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:18:55,Kentaro MASUDA,50,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:19:05,Hiroki KAI,51,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:19:14,Sho TSUKISAWA,52,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:19:21,Nao KAZAMI,53,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:19:24,Jun TSUCHIDA,54,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:19:28,Kazuya NAMERA,55,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:19:48,Shinya SAITO,56,Marathon
Tokyo Marathon - 25 FEB 2018,TPE,M,,2:19:59,Chia-Che CHANG,57,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:20:02,Takafumi KIKUCHI,58,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:20:09,Yuya TANAKA,59,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:20:13,Yasutaka MOMOTA,60,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:20:35,Yuki FUJII,61,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:20:42,Hisaki YAJIMA,62,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:20:45,Hayate ONO,63,Marathon
Tokyo Marathon - 25 FEB 2018,AUS,M,,2:21:00,David CRINITI,64,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:21:18,Takaki MORI,65,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:21:55,Yasunori MURAKAMI,66,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:22:08,Yuichi YASUI,67,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:22:16,Keita AKIBA,68,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:22:24,Hiroshi ISHIGAKI,69,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:22:42,Takashi KONO,70,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:22:45,Arata OHNUMA,71,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:22:57,Daiki SAITO,72,Marathon
Tokyo Marathon - 25 FEB 2018,JPN,M,,2:23:08,Osamu HIRATA,73,Marathon
