competition,country,gender,link,mark,name,position,sport
Berlin Marathon - 25 SEP 2022,KEN,M,,2:01:09,Eliud KIPCHOGE,1,Marathon
Berlin Marathon - 25 SEP 2022,KEN,M,,2:05:58,Mark KORIR,2,Marathon
Berlin Marathon - 25 SEP 2022,ETH,M,,2:06:28,Deme Tadu ABATE,3,Marathon
Berlin Marathon - 25 SEP 2022,ETH,M,,2:06:40,Andamlak BELIHU,4,Marathon
Berlin Marathon - 25 SEP 2022,KEN,M,,2:06:49,Abel KIPCHUMBA,5,Marathon
Berlin Marathon - 25 SEP 2022,ETH,M,,2:07:07,Limenih GETACHEW,6,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:07:14,Kenya SONOTA,7,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:07:50,Tatsuya MARUYAMA,8,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:07:56,Kento KIKUTANI,9,Marathon
Berlin Marathon - 25 SEP 2022,KEN,M,,2:08:01,Zablon CHUMBA,10,Marathon
Berlin Marathon - 25 SEP 2022,ERI,M,,2:09:06,Haftom WELDAY,11,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:09:40,Daisuke DOI,12,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:10:18,Rintaro TAKEDA,13,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:10:27,Masashi NONAKA,14,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:10:29,Yuki MATSUMURA,15,Marathon
Berlin Marathon - 25 SEP 2022,CHN,M,,2:11:18,Jie HE,16,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:11:39,Atsumi ASHIWA,17,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:11:41,Ryu TAKAKU,18,Marathon
Berlin Marathon - 25 SEP 2022,MGL,M,,2:12:00,Gantulga DAMBADARJAA,19,Marathon
Berlin Marathon - 25 SEP 2022,ERI,M,,2:12:16,Samuel RUSSOM,20,Marathon
Berlin Marathon - 25 SEP 2022,AUT,M,,2:12:16,Peter HERZOG,21,Marathon
Berlin Marathon - 25 SEP 2022,ROU,M,,2:13:39,Ilie Alexandru CORNESCHI,22,Marathon
Berlin Marathon - 25 SEP 2022,GER,M,,2:13:41,Frank SCHAUER,23,Marathon
Berlin Marathon - 25 SEP 2022,GER,M,,2:14:02,Johannes MOTSCHMANN,24,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:14:09,Hiroto INOUE,25,Marathon
Berlin Marathon - 25 SEP 2022,GRE,M,,2:14:15,Konstantinos GELAOUZOS,26,Marathon
Berlin Marathon - 25 SEP 2022,GER,M,,2:14:18,Erik HILLE,27,Marathon
Berlin Marathon - 25 SEP 2022,CHN,M,,2:14:52,Ati NIANZHE,28,Marathon
Berlin Marathon - 25 SEP 2022,KEN,M,,2:15:04,Abraham KIPYATICH,29,Marathon
Berlin Marathon - 25 SEP 2022,CHN,M,,2:15:17,Dongzhibu RENQING,30,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:15:22,Koshiro HIRATA,31,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:15:33,Mike SAYENKO,32,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:15:43,Fuma NAKAMURA,33,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:16:02,Brendan MARTIN,34,Marathon
Berlin Marathon - 25 SEP 2022,BEL,M,,2:16:05,Filip VERCRUYSSE,35,Marathon
Berlin Marathon - 25 SEP 2022,NOR,M,,2:16:05,Andreas Myhre SJURSETH,36,Marathon
Berlin Marathon - 25 SEP 2022,KEN,M,,2:16:33,Leonard BARSOTON,37,Marathon
Berlin Marathon - 25 SEP 2022,IRL,M,,2:17:11,Conor DUFFY,38,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:17:20,Jonathan MOTT,39,Marathon
Berlin Marathon - 25 SEP 2022,SWE,M,,2:17:54,Jesper LUNDBERG,40,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:17:57,Tadashi ISSHIKI,41,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:18:00,Josh KALAPOS,42,Marathon
Berlin Marathon - 25 SEP 2022,KEN,M,,2:18:20,Godfrey KOSGEI,43,Marathon
Berlin Marathon - 25 SEP 2022,MEX,M,,2:18:40,Mauricio MENDEZ,44,Marathon
Berlin Marathon - 25 SEP 2022,JOR,M,,2:18:43,Moath ALKHAWALDEH,45,Marathon
Berlin Marathon - 25 SEP 2022,NED,M,,2:19:10,Floris WILLEBOORDSE,46,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:19:16,Oscar MEDINA,47,Marathon
Berlin Marathon - 25 SEP 2022,MGL,M,,2:19:55,Byambajav TSEVEENRAVDAN,48,Marathon
Berlin Marathon - 25 SEP 2022,RSA,M,,2:20:08,Nick BESTER,49,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:20:13,Kazuto KAWABATA,50,Marathon
Berlin Marathon - 25 SEP 2022,SWE,M,,2:20:24,Daniel LUNDGREN,51,Marathon
Berlin Marathon - 25 SEP 2022,MEX,M,,2:20:48,Daniel ORTIZ PEREZ,52,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:21:07,Spencer JOHNSON,53,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:21:47,Calum NEFF,54,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:21:48,Taiyo AKIYAMA,55,Marathon
Berlin Marathon - 25 SEP 2022,ESP,M,,2:21:56,Alejandro MARTÍNEZ FERNÁNDEZ,56,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:21:58,Matt HENSLEY,57,Marathon
Berlin Marathon - 25 SEP 2022,GER,M,,2:22:01,Lennart NIES,58,Marathon
Berlin Marathon - 25 SEP 2022,NED,M,,2:22:16,Dennis LICHT,59,Marathon
Berlin Marathon - 25 SEP 2022,JPN,M,,2:22:28,Kazuki MURAMOTO,60,Marathon
Berlin Marathon - 25 SEP 2022,SUI,M,,2:22:32,Marcel BERNI,61,Marathon
Berlin Marathon - 25 SEP 2022,ITA,M,,2:22:39,Markus PLONER,62,Marathon
Berlin Marathon - 25 SEP 2022,DEN,M,,2:22:50,Gustav KRØLL,63,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:22:56,Jack RANDALL,64,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:23:20,Anthony TOMSICH,65,Marathon
Berlin Marathon - 25 SEP 2022,GBR,M,,2:23:30,Nicholas BARRY,66,Marathon
Berlin Marathon - 25 SEP 2022,GER,M,,2:24:03,Max RAHM,67,Marathon
Berlin Marathon - 25 SEP 2022,GBR,M,,2:24:12,Arthur DICKSON-BELL,68,Marathon
Berlin Marathon - 25 SEP 2022,USA,M,,2:24:27,Nick CAPARIO,69,Marathon
Berlin Marathon - 25 SEP 2022,GBR,M,,2:24:32,Berry COOPER,70,Marathon
Berlin Marathon - 25 SEP 2022,CRC,M,,2:24:37,Cesar Andres LIZANO,71,Marathon
