competition,country,gender,link,mark,name,position,sport
Berlin Marathon - 29 SEP 2021,ETH,F,,2:20:09,Gotytom GEBRESLASE,1,Marathon
Berlin Marathon - 29 SEP 2021,ETH,F,,2:21:23,Hiwot GEBREKIDAN,2,Marathon
Berlin Marathon - 29 SEP 2021,ETH,F,,2:23:05,Helen BEKELE,3,Marathon
Berlin Marathon - 29 SEP 2021,KEN,F,,2:24:33,Edith CHELIMO,4,Marathon
Berlin Marathon - 29 SEP 2021,ETH,F,,2:24:43,Shure DEMISE,5,Marathon
Berlin Marathon - 29 SEP 2021,KEN,F,,2:24:58,Fancy CHEMUTAI,6,Marathon
Berlin Marathon - 29 SEP 2021,POL,F,,2:27:41,Izabela PASZKIEWICZ,7,Marathon
Berlin Marathon - 29 SEP 2021,KEN,F,,2:28:18,Ruth CHEBITOK,8,Marathon
Berlin Marathon - 29 SEP 2021,GER,F,,2:28:49,Rabea SCHÖNEBORN,9,Marathon
Berlin Marathon - 29 SEP 2021,SUI,F,,2:30:37,Martina STRÄHL,10,Marathon
Berlin Marathon - 29 SEP 2021,HUN,F,,2:31:08,Nóra SZABÓ,11,Marathon
Berlin Marathon - 29 SEP 2021,SWE,F,,2:33:23,Hanna LINDHOLM,12,Marathon
Berlin Marathon - 29 SEP 2021,BEL,F,,2:34:44,Hanna VANDENBUSSCHE,13,Marathon
Berlin Marathon - 29 SEP 2021,NOR,F,,2:35:34,Maria Sagnes WÅGAN,14,Marathon
Berlin Marathon - 29 SEP 2021,KEN,F,,2:37:41,Martha AKENO,15,Marathon
Berlin Marathon - 29 SEP 2021,CAN,F,,2:38:13,Élissa LEGAULT,16,Marathon
Berlin Marathon - 29 SEP 2021,USA,F,,2:38:32,Shalane FLANAGAN,17,Marathon
Berlin Marathon - 29 SEP 2021,GBR,F,,2:38:41,Alison LAVENDER,18,Marathon
Berlin Marathon - 29 SEP 2021,GER,F,,2:39:36,Sandra MORCHNER,19,Marathon
Berlin Marathon - 29 SEP 2021,IRL,F,,2:40:26,Grace LYNCH,20,Marathon
