competition,country,link,mark,name,position,sport
"IAAF World Athletics Championships, DOHA 2019",CHN,https://www.worldathletics.org/athletes/pr-of-china/lijiao-gong-14266426,19.55,Lijiao GONG,1,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",JAM,https://www.worldathletics.org/athletes/jamaica/danniel-thomas-dodd-14468647,19.47,Danniel THOMAS-DODD,2,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",GER,https://www.worldathletics.org/athletes/germany/christina-schwanitz-14279753,19.17,Christina SCHWANITZ,3,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",USA,https://www.worldathletics.org/athletes/united-states/maggie-ewen-14426023,18.93,Maggie EWEN,4,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",HUN,https://www.worldathletics.org/athletes/hungary/anita-márton-14282022,18.86,Anita MÁRTON,5,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",BLR,https://www.worldathletics.org/athletes/belarus/aliona-dubitskaya-14269885,18.86,Aliona DUBITSKAYA,6,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",USA,https://www.worldathletics.org/athletes/united-states/chase-ealey-14533525,18.82,Chase EALEY,7,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",CAN,https://www.worldathletics.org/athletes/canada/brittany-crew-14430758,18.55,Brittany CREW,8,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",USA,https://www.worldathletics.org/athletes/united-states/michelle-carter-14307333,18.41,Michelle CARTER,9,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",POL,https://www.worldathletics.org/athletes/poland/paulina-guba-14941418,18.02,Paulina GUBA,10,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",GBR,https://www.worldathletics.org/athletes/great-britain-ni/sophie-mckinna-14401183,17.99,Sophie MCKINNA,11,"(['Shot Put'],)"
"IAAF World Athletics Championships, DOHA 2019",MDA,https://www.worldathletics.org/athletes/moldova/dimitriana-surdu-14474337,17.64,Dimitriana SURDU,12,"(['Shot Put'],)"
