competition,country,link,mark,name,position,sport
IAAF World Championships London 2017,CHN,https://www.worldathletics.org/athletes/pr-of-china/lijiao-gong-14266426,19.94,Lijiao GONG,1,"(['Shot Put'],)"
IAAF World Championships London 2017,HUN,https://www.worldathletics.org/athletes/hungary/anita-márton-14282022,19.49,Anita MÁRTON,2,"(['Shot Put'],)"
IAAF World Championships London 2017,USA,https://www.worldathletics.org/athletes/united-states/michelle-carter-14307333,19.14,Michelle CARTER,3,"(['Shot Put'],)"
IAAF World Championships London 2017,JAM,https://www.worldathletics.org/athletes/jamaica/danniel-thomas-dodd-14468647,18.91,Danniel THOMAS-DODD,4,"(['Shot Put'],)"
IAAF World Championships London 2017,CHN,https://www.worldathletics.org/athletes/pr-of-china/yang-gao-14514468,18.25,Yang GAO,5,"(['Shot Put'],)"
IAAF World Championships London 2017,CAN,https://www.worldathletics.org/athletes/canada/brittany-crew-14430758,18.21,Brittany CREW,6,"(['Shot Put'],)"
IAAF World Championships London 2017,BLR,https://www.worldathletics.org/athletes/belarus/yuliya-leantsiuk-14269774,18.12,Yuliya LEANTSIUK,7,"(['Shot Put'],)"
IAAF World Championships London 2017,CUB,https://www.worldathletics.org/athletes/cuba/yaniuvis-lópez-14263505,18.03,Yaniuvis LÓPEZ,8,"(['Shot Put'],)"
IAAF World Championships London 2017,BRA,https://www.worldathletics.org/athletes/brazil/geisa-arcanjo-14269427,18.03,Geisa ARCANJO,9,"(['Shot Put'],)"
IAAF World Championships London 2017,USA,https://www.worldathletics.org/athletes/united-states/raven-saunders-14615321,17.86,Raven SAUNDERS,10,"(['Shot Put'],)"
IAAF World Championships London 2017,NED,https://www.worldathletics.org/athletes/netherlands/melissa-boekelman-14291507,17.73,Melissa BOEKELMAN,11,"(['Shot Put'],)"
IAAF World Championships London 2017,CHN,https://www.worldathletics.org/athletes/pr-of-china/ka-bian-14462024,17.60,Ka BIAN,12,"(['Shot Put'],)"
