competition,country,link,mark,name,position,sport
The XXXII Olympic Games,PER,https://www.worldathletics.org/athletes/peru/jovana-de-la-cruz-capani-14375651,2:36:38,Jovana DE LA CRUZ CAPANI,40,"(['Marathon'],)"
The XXXII Olympic Games,ECU,https://www.worldathletics.org/athletes/ecuador/rosa-chacha-14262327,2:36:44,Rosa CHACHA,41,"(['Marathon'],)"
The XXXII Olympic Games,UKR,https://www.worldathletics.org/athletes/ukraine/yevheniya-prokofyeva-14532634,2:36:47,Yeheniya PROKOFYEVA,42,"(['Marathon'],)"
The XXXII Olympic Games,ERI,https://www.worldathletics.org/athletes/eritrea/nazret-weldu-14262207,2:37:01,Nazret WELDU,43,"(['Marathon'],)"
The XXXII Olympic Games,NED,https://www.worldathletics.org/athletes/netherlands/andrea-deeltstra-14291595,2:37:05,Andrea DEELTSTRA,44,"(['Marathon'],)"
The XXXII Olympic Games,MGL,https://www.worldathletics.org/athletes/mongolia/munkhzaya-bayartsogt-14632541,2:37:08,Munkhzaya BAYARTSOGT,45,"(['Marathon'],)"
The XXXII Olympic Games,KAZ,https://www.worldathletics.org/athletes/kazakhstan/zhanna-mamazhanova-14498228,2:37:42,Zhanna MAMAZHANOVA,46,"(['Marathon'],)"
The XXXII Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/deshun-zhang-14693572,2:37:45,Deshun ZHANG,47,"(['Marathon'],)"
The XXXII Olympic Games,ISR,https://www.worldathletics.org/athletes/israel/maor-tiyouri-14283592,2:37:52,Maor TIYOURI,48,"(['Marathon'],)"
The XXXII Olympic Games,BEL,https://www.worldathletics.org/athletes/belgium/hanne-verbruggen-14599545,2:38:03,Hanne VERBRUGGEN,49,"(['Marathon'],)"
The XXXII Olympic Games,BLR,https://www.worldathletics.org/athletes/belarus/nina-savina-14421166,2:38:41,Nina SAVINA,50,"(['Marathon'],)"
The XXXII Olympic Games,SUI,https://www.worldathletics.org/athletes/switzerland/martina-strähl-14366123,2:39:25,Martina STRÄHL,51,"(['Marathon'],)"
The XXXII Olympic Games,CZE,https://www.worldathletics.org/athletes/czech-republic/marcela-joglová-14263037,2:39:29,Marcela JOGLOVÁ,52,"(['Marathon'],)"
The XXXII Olympic Games,CRO,https://www.worldathletics.org/athletes/croatia/bojana-bjeljac-14665027,2:39:32,Bojana BJELJAC,53,"(['Marathon'],)"
The XXXII Olympic Games,MDA,https://www.worldathletics.org/athletes/moldova/lilia-fisikovici-14941192,2:39:59,Lilia FISIKOVICI,54,"(['Marathon'],)"
The XXXII Olympic Games,COL,https://www.worldathletics.org/athletes/colombia/angie-orjuela-14521783,2:40:04,Angie ORJUELA,55,"(['Marathon'],)"
The XXXII Olympic Games,MAR,https://www.worldathletics.org/athletes/morocco/rkia-el-moukim-14335548,2:40:10,Rkia EL MOUKIM,56,"(['Marathon'],)"
The XXXII Olympic Games,KOR,https://www.worldathletics.org/athletes/korea/seulki-an-14376748,2:41:11,Seulki AN,57,"(['Marathon'],)"
The XXXII Olympic Games,CZE,https://www.worldathletics.org/athletes/czech-republic/tereza-hrochová-14463763,2:42:25,Tereza HROCHOVÁ,58,"(['Marathon'],)"
The XXXII Olympic Games,POL,https://www.worldathletics.org/athletes/poland/angelika-mach-14373030,2:42:26,Angelika MACH,59,"(['Marathon'],)"
The XXXII Olympic Games,ECU,https://www.worldathletics.org/athletes/ecuador/andrea-paola-bonilla-14859648,2:43:30,Andrea Paola BONILLA,60,"(['Marathon'],)"
The XXXII Olympic Games,ARG,https://www.worldathletics.org/athletes/argentina/marcela-cristina-gomez-14435728,2:44:09,Marcela Cristina GOMEZ,61,"(['Marathon'],)"
The XXXII Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/zhixuan-li-14376349,2:45:23,Zhixuan LI,62,"(['Marathon'],)"
The XXXII Olympic Games,NED,https://www.worldathletics.org/athletes/netherlands/jill-holterman-14370468,2:45:27,Jill HOLTERMAN,63,"(['Marathon'],)"
The XXXII Olympic Games,MEX,https://www.worldathletics.org/athletes/mexico/úrsula-patricia-sánchez-14291259,2:45:45,Úrsula Patricia SÁNCHEZ,64,"(['Marathon'],)"
The XXXII Olympic Games,MEX,https://www.worldathletics.org/athletes/mexico/daniela-torres-14841906,2:47:15,Daniela TORRES,65,"(['Marathon'],)"
The XXXII Olympic Games,ISR,https://www.worldathletics.org/athletes/israel/lonah-chemtai-salpeter-14523502,2:48:31,Lonah Chemtai SALPETER,66,"(['Marathon'],)"
The XXXII Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/li-bai-14702490,2:49:21,Li BAI,67,"(['Marathon'],)"
The XXXII Olympic Games,GBR,https://www.worldathletics.org/athletes/great-britain-ni/stephanie-twell-14276601,2:53:26,Stephanie TWELL,68,"(['Marathon'],)"
The XXXII Olympic Games,UGA,https://www.worldathletics.org/athletes/uganda/juliet-chekwel-14940422,2:53:40,Juliet CHEKWEL,69,"(['Marathon'],)"
The XXXII Olympic Games,POR,https://www.worldathletics.org/athletes/portugal/sara-catarina-ribeiro-14382299,2:55:01,Sara Catarina RIBEIRO,70,"(['Marathon'],)"
The XXXII Olympic Games,GBR,https://www.worldathletics.org/athletes/great-britain-ni/jess-piasecki-14274778,2:55:39,Jess PIASECKI,71,"(['Marathon'],)"
The XXXII Olympic Games,SOL,https://www.worldathletics.org/athletes/solomon-islands/sharon-firisua-14624966,3:02:10,Sharon FIRISUA,72,"(['Marathon'],)"
The XXXII Olympic Games,CAN,https://www.worldathletics.org/athletes/canada/dayna-pidhoresky-14318989,3:03:10,Dayna PIDHORESKY,73,"(['Marathon'],)"
The XXXII Olympic Games,MEX,https://www.worldathletics.org/athletes/mexico/andrea-soraya-ramírez-limon-14638908,DNF,Andrea Soraya RAMÍREZ LIMON,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/ruth-chepngetich-14766298,DNF,Ruth CHEPNGETICH,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,ESP,https://www.worldathletics.org/athletes/spain/laura-méndez-14261003,DNF,Laura MÉNDEZ,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,ETH,https://www.worldathletics.org/athletes/ethiopia/birhane-dibaba-14434016,DNF,Birhane DIBABA,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,BRN,https://www.worldathletics.org/athletes/bahrain/tejitu-daba-14383159,DNF,Tejitu DABA,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,ERI,https://www.worldathletics.org/athletes/eritrea/kokob-tesfagaber-solomon-14722518,DNF,Kokob Tesfagaber SOLOMON,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,UKR,https://www.worldathletics.org/athletes/ukraine/viktoriia-kaliuzhna-14421044,DNF,Viktoria KALIUZHNA,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,RSA,https://www.worldathletics.org/athletes/south-africa/irvette-van-zyl-14296979,DNF,Irvette VAN ZYL,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,POR,https://www.worldathletics.org/athletes/portugal/sara-moreira-14294989,DNF,Sara MOREIRA,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/aliphine-chepkerker-tuliamuk-14289472,DNF,Aliphine Chepkerker TULIAMUK,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,IRL,https://www.worldathletics.org/athletes/ireland/aoife-cooke-14690566,DNF,Aoife COOKE,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,UKR,https://www.worldathletics.org/athletes/ukraine/darya-mykhaylova-14917692,DNF,Darya MYKHAYLOVA,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,ETH,https://www.worldathletics.org/athletes/ethiopia/zeineba-yimer-14771299,DNF,Zeineba YIMER,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,CZE,https://www.worldathletics.org/athletes/czech-republic/eva-vrabcová-nyvltová-14941331,DNF,Eva VRABCOVÁ NYVLTOVÁ,"(None,)","(['Marathon'],)"
The XXXII Olympic Games,TUR,https://www.worldathletics.org/athletes/turkey/meryem-erdogan-14422490,DNF,Meryem ERDOGAN,"(None,)","(['Marathon'],)"
