competition,country,link,mark,name,position
maratonafem2012,KOR,https://www.worldathletics.org/athletes/korea/kyung-hee-lim-14289823,2:39:03,Kyunghee LIM,73
maratonafem2012,MNE,https://www.worldathletics.org/athletes/montenegro/sladana-perunović-14383719,2:39:07,Sladana PERUNOVIC,74
maratonafem2012,BLR,https://www.worldathletics.org/athletes/belarus/volha-dubovskaya-14269648,2:39:12,Olga DUBOVSKAYA,75
maratonafem2012,JPN,https://www.worldathletics.org/athletes/japan/risa-shigetomo-14287827,2:40:06,Risa SHIGETOMO,76
maratonafem2012,TUN,https://www.worldathletics.org/athletes/tunisia/amira-benamor-14303079,2:40:13,Amira BEN AMOR,77
maratonafem2012,RSA,https://www.worldathletics.org/athletes/united-states/tanith-maxwell-14296611,2:40:27,Tanith MAXWELL,78
maratonafem2012,ARG,https://www.worldathletics.org/athletes/argentina/maría-de-los-angeles-peralta-14272611,2:40:50,María PERALTA,79
maratonafem2012,ECU,https://www.worldathletics.org/athletes/ecuador/rosa-chacha-14262327,2:40:57,Rosa CHACHA,80
maratonafem2012,INA,https://www.worldathletics.org/athletes/indonesia/triyaningsih-triyaningsih-14282744,2:41:15,- TRIYANINGSIH,81
maratonafem2012,HUN,https://www.worldathletics.org/athletes/hungary/beáta-rakonczai-14282256,2:41:20,Beáta RAKONCZAI,82
maratonafem2012,ROU,https://www.worldathletics.org/athletes/romania/constantina-dita-tomescu-14295567,2:41:34,Constantina DITA,83
maratonafem2012,FIN,https://www.worldathletics.org/athletes/finland/leena-puotiniemi-14378769,2:42:01,Leena PUOTINIEMI,84
maratonafem2012,SLO,https://www.worldathletics.org/athletes/slovenia/žana-jereb-14441629,2:42:50,Žana JEREB,85
maratonafem2012,LES,https://www.worldathletics.org/athletes/lesotho/mamorallo-tjoka-14290149,2:43:15,Mamorallo TJOKA,86
maratonafem2012,CRC,https://www.worldathletics.org/athletes/costa-rica/gabriela-traña-14263873,2:43:17,Gabriela TRAÑA,87
maratonafem2012,HUN,https://www.worldathletics.org/athletes/hungary/zsófia-erdélyi-14281461,2:44:45,Zsófia ERDÉLYI,88
maratonafem2012,UGA,https://www.worldathletics.org/athletes/uganda/jane-suuto-14303399,2:44:46,Jane SUUTO,89
maratonafem2012,VEN,https://www.worldathletics.org/athletes/venezuela/yolimar-pineda-14325191,2:45:16,Yolimar PINEDA,90
maratonafem2012,HUN,https://www.worldathletics.org/athletes/hungary/anikó-kálovics-14281775,2:45:55,Anikó KÁLOVICS,91
maratonafem2012,KOR,https://www.worldathletics.org/athletes/korea/sung-eun-kim-14289756,2:46:38,Seongeun KIM,92
maratonafem2012,ESP,https://www.worldathletics.org/athletes/spain/vanesa-veiga-14260269,2:46:53,Vanessa VEIGA,93
maratonafem2012,LAT,https://www.worldathletics.org/athletes/latvia/dace-lina-14458599,2:47:47,Dace LINA,94
maratonafem2012,SVK,https://www.worldathletics.org/athletes/slovak-republic/katarína-pejpkova-berešová-14301373,2:48:11,Katarina BÉREŠOVÁ,95
maratonafem2012,AUS,https://www.worldathletics.org/athletes/australia/benita-willis-johnson-14271064,2:49:38,Benita WILLIS,96
maratonafem2012,RWA,https://www.worldathletics.org/athletes/rwanda/claudette-mukasakindi-14299953,2:51:07,Claudette MUKASAKINDI,97
maratonafem2012,MGL,https://www.worldathletics.org/athletes/mongolia/otgonbayar-luvsanlkhundeg-14291305,2:52:15,Otgonbayar LUVSANLUNDEG,98
maratonafem2012,EST,https://www.worldathletics.org/athletes/estonia/evelin-talts-14260141,2:54:15,Evelin TALTS,99
maratonafem2012,GRE,https://www.worldathletics.org/athletes/greece/konstantina-kefala-14280689,3:01:18,Konstadína KEFALÁ,100
maratonafem2012,MYA,https://www.worldathletics.org/athletes/myanmar/ni-lar-san-14291418,3:04:27,Ni Lar SAN,101
maratonafem2012,TLS,https://www.worldathletics.org/athletes/timor-leste/juventina-napoleao-14446466,3:05:07,Juventina NAPOLEAO,102
maratonafem2012,IRL,https://www.worldathletics.org/athletes/ireland/catriona-jennings-14275449,3:22:11,Caitriona JENNINGS,103
maratonafem2012,COL,https://www.worldathletics.org/athletes/colombia/yolanda-caballero-14264046,DQ,Yolanda CABALLERO,"(None,)"
maratonafem2012,TUR,https://www.worldathletics.org/athletes/turkey/bahar-doğan-14303236,DQ,Bahar DOGAN,"(None,)"
maratonafem2012,TUR,https://www.worldathletics.org/athletes/turkey/ümmü-kiraz-14303292,DQ,Ümmü KIRAZ,"(None,)"
maratonafem2012,UKR,https://www.worldathletics.org/athletes/ukraine/tetyana-gamera-14303581,DQ,Tetiana SHMYRKO,"(None,)"
maratonafem2012,RUS,https://www.worldathletics.org/athletes/russia/liliya-shobukhova-14299314,DQ,Liliya SHOBUKHOVA,"(None,)"
maratonafem2012,CHN,https://www.worldathletics.org/athletes/pr-of-china/jiali-wang-14265125,DQ,Jiali WANG,"(None,)"
maratonafem2012,UKR,https://www.worldathletics.org/athletes/ukraine/tetyana-filonyuk-14303567,DNF,Tetyana FILONYUK,"(None,)"
maratonafem2012,SRB,https://www.worldathletics.org/athletes/serbia/olivera-jevtić-14300350,DNF,Olivera JEVTIC,"(None,)"
maratonafem2012,BIH,https://www.worldathletics.org/athletes/bosniaherzegovina/lucia-mwihaki-kimani-14270036,DNF,Lucia Mwihaki KIMANI,"(None,)"
maratonafem2012,NED,https://www.worldathletics.org/athletes/netherlands/lornah-kiplagat-14291787,DNF,Lornah KIPLAGAT,"(None,)"
maratonafem2012,MAR,https://www.worldathletics.org/athletes/morocco/soumiya-laabani-14290703,DNF,Soumiya LABANI,"(None,)"
maratonafem2012,USA,https://www.worldathletics.org/athletes/united-states/desiree-linden-14308638,DNF,Desireé LINDEN,"(None,)"
maratonafem2012,ZIM,https://www.worldathletics.org/athletes/zimbabwe/sharon-tavengwa-14325382,DNF,Sharon TAVENGWA,"(None,)"
maratonafem2012,RSA,https://www.worldathletics.org/athletes/south-africa/irvette-van-zyl-14296979,DNF,Irvette VAN ZYL,"(None,)"
maratonafem2012,GBR,https://www.worldathletics.org/athletes/great-britain-ni/mara-yamauchi-14276819,DNF,Mara YAMAUCHI,"(None,)"
