competition,country,link,mark,name,position,sport
The XXXII Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/eliud-kipchoge-14208194,2:08:38,Eliud KIPCHOGE,1,"(['Marathon'],)"
The XXXII Olympic Games,NED,https://www.worldathletics.org/athletes/netherlands/abdi-nageeye-14214214,2:09:58,Abdi NAGEEYE,2,"(['Marathon'],)"
The XXXII Olympic Games,BEL,https://www.worldathletics.org/athletes/belgium/bashir-abdi-14375137,2:10:00,Bashir ABDI,3,"(['Marathon'],)"
The XXXII Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/lawrence-cherono-14687675,2:10:02,Lawrence CHERONO,4,"(['Marathon'],)"
The XXXII Olympic Games,ESP,https://www.worldathletics.org/athletes/spain/ayad-lamdassem-14166054,2:10:16,Ayad LAMDASSEM,5,"(['Marathon'],)"
The XXXII Olympic Games,JPN,https://www.worldathletics.org/athletes/japan/suguru-osako-14335060,2:10:41,Suguru OSAKO,6,"(['Marathon'],)"
The XXXII Olympic Games,TAN,https://www.worldathletics.org/athletes/tanzania/alphonce-felix-simbu-14487535,2:11:35,Alphonce Felix SIMBU,7,"(['Marathon'],)"
The XXXII Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/galen-rupp-14250207,2:11:41,Galen RUPP,8,"(['Marathon'],)"
The XXXII Olympic Games,MAR,https://www.worldathletics.org/athletes/morocco/othmane-el-goumri-14413330,2:11:58,Othmane EL GOUMRI,9,"(['Marathon'],)"
The XXXII Olympic Games,BEL,https://www.worldathletics.org/athletes/belgium/koen-naert-14329163,2:12:13,Koen NAERT,10,"(['Marathon'],)"
The XXXII Olympic Games,MAR,https://www.worldathletics.org/athletes/morocco/mohamed-reda-el-aaraby-14420179,2:12:22,Mohamed Reda EL AARABY,11,"(['Marathon'],)"
The XXXII Olympic Games,FRA,https://www.worldathletics.org/athletes/france/nicolas-navarro-14624740,2:12:50,Nicolas NAVARRO,12,"(['Marathon'],)"
The XXXII Olympic Games,ISR,https://www.worldathletics.org/athletes/israel/maru-teferi-14526757,2:13:02,Maru TEFERI,13,"(['Marathon'],)"
The XXXII Olympic Games,ERI,https://www.worldathletics.org/athletes/eritrea/goitom-kifle-14366697,2:13:22,Goitom KIFLE,14,"(['Marathon'],)"
The XXXII Olympic Games,COL,https://www.worldathletics.org/athletes/colombia/jeison-alexander-suarez-14523052,2:13:29,Jeison Alexander SUAREZ,15,"(['Marathon'],)"
The XXXII Olympic Games,ART,https://www.worldathletics.org/athletes/athlete-refugee-team/tachlowini-gabriyesos-14737736,2:14:02,Tachlowini GABRIYESOS,16,"(['Marathon'],)"
The XXXII Olympic Games,FRA,https://www.worldathletics.org/athletes/france/morhad-amdouni-14182867,2:14:33,Morhad AMDOUNI,17,"(['Marathon'],)"
The XXXII Olympic Games,MAR,https://www.worldathletics.org/athletes/morocco/hamza-sahli-14212196,2:14:48,Hamza SAHLI,18,"(['Marathon'],)"
The XXXII Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/shaohui-yang-14523268,2:14:58,Shaohui YANG,19,"(['Marathon'],)"
The XXXII Olympic Games,ITA,https://www.worldathletics.org/athletes/italy/eyob-ghebrehiwet-faniel-14446830,2:15:11,Eyob GHEBREHIWET FANIEL,20,"(['Marathon'],)"
The XXXII Olympic Games,ESP,https://www.worldathletics.org/athletes/spain/daniel-mateo-14165757,2:15:21,Daniel MATEO,21,"(['Marathon'],)"
The XXXII Olympic Games,ERI,https://www.worldathletics.org/athletes/eritrea/yohanes-ghebregergis-14647870,2:15:34,Yohanes GHEBREGERGIS,22,"(['Marathon'],)"
The XXXII Olympic Games,DEN,https://www.worldathletics.org/athletes/denmark/adbi-hakin-ulad-14429412,2:15:50,Adbi Hakin ULAD,23,"(['Marathon'],)"
The XXXII Olympic Games,AUS,https://www.worldathletics.org/athletes/australia/liam-adams-14180224,2:15:51,Liam ADAMS,24,"(['Marathon'],)"
The XXXII Olympic Games,BRN,https://www.worldathletics.org/athletes/bahrain/el-hassan-el-abbassi-14389214,2:15:56,El Hassan EL ABBASSI,25,"(['Marathon'],)"
The XXXII Olympic Games,GER,https://www.worldathletics.org/athletes/germany/richard-ringer-14193865,2:16:08,Richard RINGER,26,"(['Marathon'],)"
The XXXII Olympic Games,EST,https://www.worldathletics.org/athletes/estonia/tiidrek-nurme-14181111,2:16:16,Tiidrek NURME,27,"(['Marathon'],)"
The XXXII Olympic Games,ISR,https://www.worldathletics.org/athletes/israel/girmaw-amare-14427580,2:16:17,Girmaw AMARE,28,"(['Marathon'],)"
The XXXII Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/jacob-riley-14941292,2:16:26,Jacob RILEY,29,"(['Marathon'],)"
The XXXII Olympic Games,GER,https://www.worldathletics.org/athletes/germany/amanal-petros-14572523,2:16:33,Amanal PETROS,30,"(['Marathon'],)"
The XXXII Olympic Games,ARG,https://www.worldathletics.org/athletes/argentina/eulalio-munoz-14594126,2:16:35,Eulalio MUNOZ,31,"(['Marathon'],)"
The XXXII Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/jianhua-peng-14750662,2:16:39,Jianhua PENG,32,"(['Marathon'],)"
The XXXII Olympic Games,ESP,https://www.worldathletics.org/athletes/spain/javier-guerra-14166242,2:16:42,Javier GUERRA,33,"(['Marathon'],)"
