competition,country,link,mark,name,position,sport
The XXX Olympic Games,ALG,https://www.worldathletics.org/athletes/algeria/tayeb-filali-14201554,DNF,Tayeb FILALI,"(None,)","(['Marathon'],)"
The XXX Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/ryan-hall-14239724,DNF,Ryan HALL,"(None,)","(['Marathon'],)"
The XXX Olympic Games,COD,https://www.worldathletics.org/athletes/democ-republic-of-congo/mande-ilunga-14170199,DNF,Dieudonné ILUNGA MANDE,"(None,)","(['Marathon'],)"
The XXX Olympic Games,FRA,https://www.worldathletics.org/athletes/france/abraham-kiprotich-14208418,DNF,Abraham KIPROTICH,"(None,)","(['Marathon'],)"
The XXX Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/zicheng-li-14326996,DNF,Zicheng LI,"(None,)","(['Marathon'],)"
The XXX Olympic Games,FRA,https://www.worldathletics.org/athletes/france/abdellatif-meftah-14212366,DNF,Abdellatif MEFTAH,"(None,)","(['Marathon'],)"
The XXX Olympic Games,RSA,https://www.worldathletics.org/athletes/south-africa/coolboy-ngamole-14220832,DNF,Coolboy NGAMOLE,"(None,)","(['Marathon'],)"
The XXX Olympic Games,MDA,https://www.worldathletics.org/athletes/moldova/roman-prodius-14212725,DNF,Roman PRODIUS,"(None,)","(['Marathon'],)"
The XXX Olympic Games,ETH,https://www.worldathletics.org/athletes/ethiopia/dino-sefir-14181612,DNF,Dino SEFIR,"(None,)","(['Marathon'],)"
The XXX Olympic Games,POR,https://www.worldathletics.org/athletes/portugal/rui-pedro-silva-14218607,DNF,Rui Pedro SILVA,"(None,)","(['Marathon'],)"
The XXX Olympic Games,FRA,https://www.worldathletics.org/athletes/france/patrick-tambwé-14170185,DNF,Patrick TAMBWE NGOIE,"(None,)","(['Marathon'],)"
The XXX Olympic Games,ERI,https://www.worldathletics.org/athletes/eritrea/samuel-tsegay-tesfamariam-14167392,DNF,Samuel TSEGAY,"(None,)","(['Marathon'],)"
The XXX Olympic Games,AUT,https://www.worldathletics.org/athletes/austria/günther-weidlinger-14178120,DNF,Günther WEIDLINGER,"(None,)","(['Marathon'],)"
