BIB,competition,country,link,mark,name,position
,maratonafem2008,ZIM,https://www.worldathletics.org/athletes/zimbabwe/tabitha-tsatsa-14325383,2:37:10,Tabitha TSATSA,49
,maratonafem2008,TUR,https://www.worldathletics.org/athletes/turkey/bahar-dogan-14303236,2:37:12,Bahar DOGAN,50
,maratonafem2008,BRA,https://www.worldathletics.org/athletes/brazil/marily-dos-santos-14269103,2:38:10,Marily DOS SANTOS,51
,maratonafem2008,GER,https://www.worldathletics.org/athletes/germany/susanne-hahn-14279400,2:38:31,Susanne HAHN,52
,maratonafem2008,KOR,https://www.worldathletics.org/athletes/korea/eun-hee-chae-14289587,2:38:52,Eun-hee CHAE,53
,maratonafem2008,ESP,https://www.worldathletics.org/athletes/spain/alessandra-aguilar-14262157,2:39:29,Alessandra AGUILAR,54
,maratonafem2008,MEX,https://www.worldathletics.org/athletes/mexico/patricia-rétiz-14291210,2:39:34,Patricia RÉTIZ,55
,maratonafem2008,KOR,https://www.worldathletics.org/athletes/korea/sun-young-lee-14289806,2:43:23,Sun-young LEE,56
,maratonafem2008,AUT,https://www.worldathletics.org/athletes/austria/eva-maria-gradwohl-14270939,2:44:24,Eva-Maria GRADWOHL,57
,maratonafem2008,KGZ,https://www.worldathletics.org/athletes/kirghizistan/iuliia-andreeva-14522921,2:44:41,Iuliia ANDREEVA,58
,maratonafem2008,BOL,https://www.worldathletics.org/athletes/bolivia/sonia-calizaya-14269501,2:45:53,Sonia CALIZAYA,59
,maratonafem2008,GRE,https://www.worldathletics.org/athletes/greece/eléni-dónta-14280584,2:46:44,Eléni DÓNTA,60
,maratonafem2008,MEX,https://www.worldathletics.org/athletes/mexico/karina-pérez-14291189,2:47:02,Karina PÉREZ,61
,maratonafem2008,COL,https://www.worldathletics.org/athletes/colombia/bertha-sánchez-14263908,2:47:02,Bertha SÁNCHEZ,62
,maratonafem2008,IRL,https://www.worldathletics.org/athletes/ireland/pauline-curley-14283179,2:47:16,Pauline CURLEY,63
,maratonafem2008,ESP,https://www.worldathletics.org/athletes/spain/maria-josé-pueyo-14260700,2:48:01,Maria José PUEYO,64
,maratonafem2008,HUN,https://www.worldathletics.org/athletes/hungary/petra-teveli-14282522,2:48:32,Petra TEVELI,65
,maratonafem2008,RWA,https://www.worldathletics.org/athletes/rwanda/epiphanie-nyirabarame-14299956,2:49:32,Epiphanie NYIRABARAME,66
,maratonafem2008,SVK,https://www.worldathletics.org/athletes/slovak-republic/zuzana-šaríková-14301596,2:49:39,Zuzana ŠARÍKOVÁ,67
,maratonafem2008,CRC,https://www.worldathletics.org/athletes/costa-rica/gabriela-traña-14263873,2:53:45,Gabriela TRAÑA,68
,maratonafem2008,UKR,https://www.worldathletics.org/athletes/ukraine/oxana-sklyarenko-14304207,2:55:39,Oxana SKLYARENKO,69
,maratonafem2008,ETH,https://www.worldathletics.org/athletes/ethiopia/berhane-adere-14259948,DNF,Berhane ADERE,"(None,)"
,maratonafem2008,RUS,https://www.worldathletics.org/athletes/russia/galina-bogomolova-14297417,DNF,Galina BOGOMOLOVA,"(None,)"
,maratonafem2008,MDA,https://www.worldathletics.org/athletes/moldova/valentina-delion-14290896,DNF,Valentina DELION,"(None,)"
,maratonafem2008,TLS,https://www.worldathletics.org/athletes/timor-leste/mariana-dias-ximenes-14872310,DNF,Mariana DIAS XIMENES,"(None,)"
,maratonafem2008,SRB,https://www.worldathletics.org/athletes/serbia/olivera-jevtic-14300350,DNF,Olivera JEVTIC,"(None,)"
,maratonafem2008,USA,https://www.worldathletics.org/athletes/united-states/deena-kastor-14309297,DNF,Deena KASTOR,"(None,)"
,maratonafem2008,USA,https://www.worldathletics.org/athletes/united-states/magdalena-lewy-boulet-14315381,DNF,Magdalena LEWY-BOULET,"(None,)"
,maratonafem2008,POR,https://www.worldathletics.org/athletes/portugal/inês-monteiro-14294984,DNF,Inês MONTEIRO,"(None,)"
,maratonafem2008,HUN,https://www.worldathletics.org/athletes/hungary/beáta-rakonczai-14282256,DNF,Beáta RAKONCZAI,"(None,)"
,maratonafem2008,LES,https://www.worldathletics.org/athletes/lesotho/mamorallo-tjoka-14290149,DNF,Mamorallo TJOKA,"(None,)"
,maratonafem2008,JPN,https://www.worldathletics.org/athletes/japan/reiko-tosa-14288222,DNF,Reiko TOSA,"(None,)"
,maratonafem2008,ETH,https://www.worldathletics.org/athletes/ethiopia/gete-wami-14259703,DNF,Gete WAMI,"(None,)"
,maratonafem2008,ITA,https://www.worldathletics.org/athletes/bahrain/nadia-ejjafini-14268776,DNS,Nadia EJJAFINI,"(None,)"
