competition,country,link,mark,name,position
maratonamasc2000,ETH,https://www.worldathletics.org/athletes/ethiopia/gezahegne-abera-14181289,2:10:11,Gezahegne ABERA,1
maratonamasc2000,KEN,https://www.worldathletics.org/athletes/kenya/erick-wainaina-14209939,2:10:31,Erick WAINAINA,2
maratonamasc2000,ETH,https://www.worldathletics.org/athletes/ethiopia/tesfaye-tola-14181671,2:11:10,Tesfaye TOLA,3
maratonamasc2000,CAN,https://www.worldathletics.org/athletes/great-britain-ni/jon-brown-14188673,2:11:17,Jon BROWN,4
maratonamasc2000,ITA,https://www.worldathletics.org/athletes/italy/giacomo-leone-14200641,2:12:14,Giacomo LEONE,5
maratonamasc2000,ESP,https://www.worldathletics.org/athletes/spain/martín-fiz-14166540,2:13:06,Martín FIZ,6
maratonamasc2000,MAR,https://www.worldathletics.org/athletes/morocco/abdelkader-el-mouaziz-14212082,2:13:49,Abdelkader EL MOUAZIZ,7
maratonamasc2000,FRA,https://www.worldathletics.org/athletes/france/mohamed-ouaadi-14186868,2:14:04,Mohamed OUAADI,8
maratonamasc2000,ZIM,https://www.worldathletics.org/athletes/zimbabwe/tendai-chimusasa-14256465,2:14:19,Tendai CHIMUSASA,9
maratonamasc2000,AUS,https://www.worldathletics.org/athletes/australia/steve-moneghetti-14179121,2:14:50,Steve MONEGHETTI,10
maratonamasc2000,POR,https://www.worldathletics.org/athletes/portugal/antónio-pinto-14218458,2:15:17,António PINTO,11
maratonamasc2000,RSA,https://www.worldathletics.org/athletes/south-africa/hendrick-ramaala-14221015,2:16:19,Hendrick RAMAALA,12
maratonamasc2000,NED,https://www.worldathletics.org/athletes/netherlands/kamiel-maase-14214167,2:16:24,Kamiel MAASE,13
maratonamasc2000,ECU,https://www.worldathletics.org/athletes/ecuador/silvio-guerra-14167640,2:16:27,Silvio GUERRA,14
maratonamasc2000,RWA,https://www.worldathletics.org/athletes/rwanda/mathias-ntawulikura-14224746,2:16:39,Mathias NTAWULIKURA,15
maratonamasc2000,LES,https://www.worldathletics.org/athletes/lesotho/thabiso-paul-moqhali-14211198,2:16:43,Thabiso Paul MOQHALI,16
maratonamasc2000,ANG,https://www.worldathletics.org/athletes/angola/joão-n'tyamba-14180565,2:16:43,João N'TYAMBA,17
maratonamasc2000,POR,https://www.worldathletics.org/athletes/portugal/domingos-castro-14218095,2:16:52,Domingos CASTRO,18
maratonamasc2000,GBR,https://www.worldathletics.org/athletes/great-britain-ni/keith-cullen-14188958,2:16:59,Keith CULLEN,19
maratonamasc2000,RSA,https://www.worldathletics.org/athletes/south-africa/josia-thugwane-14221285,2:16:59,Josia THUGWANE,20
maratonamasc2000,JPN,https://www.worldathletics.org/athletes/japan/shinji-kawashima-14203832,2:17:21,Shinji KAWASHIMA,21
maratonamasc2000,ETH,https://www.worldathletics.org/athletes/ethiopia/semretu-alemayehu-14181310,2:17:21,Semretu ALEMAYEHU,22
maratonamasc2000,ALG,https://www.worldathletics.org/athletes/algeria/kamel-kohil-14180708,2:17:46,Kamel KOHIL,23
