BIB,country,link,mark,name,position
2737,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/jon-kyong-hui-14367922,2:35:17,Kyong-Hui JON,55
1857,GBR,https://www.worldathletics.org/athletes/great-britain-ni/claire-hallissey-14275213,2:35:39,Claire HALLISSEY,56
1605,ERI,https://www.worldathletics.org/athletes/eritrea/rehaset-mehari-14464173,2:35:49,Rehaset MEHARI,57
2347,KGZ,https://www.worldathletics.org/athletes/kirghizistan/iuliia-andreeva-14522921,2:36:01,Iuliia ANDREEVA,58
1647,ESP,https://www.worldathletics.org/athletes/spain/elena-maría-espeso-14360230,2:36:12,María Elena ESPESO,59
1257,BRN,https://www.worldathletics.org/athletes/bahrain/lishan-dula-14413299,2:36:20,Lishan DULA,60
1339,CHI,https://www.worldathletics.org/athletes/chile/erika-alejandra-de-la-fuente-14269220,2:36:41,Erika Alejandra DE LA FUENTE,61
2487,MDA,https://www.worldathletics.org/athletes/moldova/natalia-cerches-14290882,2:37:13,Natalia CERCHES,62
2101,IRL,https://www.worldathletics.org/athletes/ireland/linda-byrne-14283153,2:37:13,Linda BYRNE,63
1542,CZE,https://www.worldathletics.org/athletes/czech-republic/ivana-sekyrová-14262751,2:37:14,Ivana SEKYROVÁ,64
2106,IRL,https://www.worldathletics.org/athletes/ireland/ava-hutchinson-14275405,2:37:17,Ava HUTCHINSON,65
1340,CHI,https://www.worldathletics.org/athletes/chile/nataly-romero-jaramillo-14266817,2:37:47,Natalia ROMERO,66
1488,CUB,https://www.worldathletics.org/athletes/cuba/dailin-belmonte-14263683,2:38:08,Dailín BELMONTE,67
2958,SRB,https://www.worldathletics.org/athletes/serbia/ana-subotić-14300430,2:38:22,Ana SUBOTIC,68
3087,TUR,https://www.worldathletics.org/athletes/turkey/sultan-haydar-14259831,2:38:26,Sultan HAYDAR,69
2476,MAR,https://www.worldathletics.org/athletes/morocco/samira-raif-14290757,2:38:31,Samira RAIF,70
2739,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/mi-gyong-kim-14375857,2:38:33,Mi-Gyong KIM,71
2435,LTU,https://www.worldathletics.org/athletes/lithuania/renalda-kergyté-14290271,2:39:01,Remalda KERGYTÈ,72
2366,KOR,https://www.worldathletics.org/athletes/korea/kyung-hee-lim-14289823,2:39:03,Kyunghee LIM,73
2526,MNE,https://www.worldathletics.org/athletes/montenegro/sladana-perunović-14383719,2:39:07,Sladana PERUNOVIC,74
1178,BLR,https://www.worldathletics.org/athletes/belarus/volha-dubovskaya-14269648,2:39:12,Olga DUBOVSKAYA,75
2261,JPN,https://www.worldathletics.org/athletes/japan/risa-shigetomo-14287827,2:40:06,Risa SHIGETOMO,76
3068,TUN,https://www.worldathletics.org/athletes/tunisia/amira-benamor-14303079,2:40:13,Amira BEN AMOR,77
2793,RSA,https://www.worldathletics.org/athletes/united-states/tanith-maxwell-14296611,2:40:27,Tanith MAXWELL,78
1027,ARG,https://www.worldathletics.org/athletes/argentina/maría-de-los-angeles-peralta-14272611,2:40:50,María PERALTA,79
1578,ECU,https://www.worldathletics.org/athletes/ecuador/rosa-chacha-14262327,2:40:57,Rosa CHACHA,80
2062,INA,https://www.worldathletics.org/athletes/indonesia/triyaningsih-triyaningsih-14282744,2:41:15,- TRIYANINGSIH,81
2059,HUN,https://www.worldathletics.org/athletes/hungary/beáta-rakonczai-14282256,2:41:20,Beáta RAKONCZAI,82
2765,ROU,https://www.worldathletics.org/athletes/romania/constantina-dita-tomescu-14295567,2:41:34,Constantina DITA,83
1736,FIN,https://www.worldathletics.org/athletes/finland/leena-puotiniemi-14378769,2:42:01,Leena PUOTINIEMI,84
2934,SLO,https://www.worldathletics.org/athletes/slovenia/žana-jereb-14441629,2:42:50,Žana JEREB,85
2420,LES,https://www.worldathletics.org/athletes/lesotho/mamorallo-tjoka-14290149,2:43:15,Mamorallo TJOKA,86
1451,CRC,https://www.worldathletics.org/athletes/costa-rica/gabriela-traña-14263873,2:43:17,Gabriela TRAÑA,87
2051,HUN,https://www.worldathletics.org/athletes/hungary/zsófia-erdélyi-14281461,2:44:45,Zsófia ERDÉLYI,88
3120,UGA,https://www.worldathletics.org/athletes/uganda/jane-suuto-14303399,2:44:46,Jane SUUTO,89
3353,VEN,https://www.worldathletics.org/athletes/venezuela/yolimar-pineda-14325191,2:45:16,Yolimar PINEDA,90
2055,HUN,https://www.worldathletics.org/athletes/hungary/anikó-kálovics-14281775,2:45:55,Anikó KÁLOVICS,91
2365,KOR,https://www.worldathletics.org/athletes/korea/sung-eun-kim-14289756,2:46:38,Seongeun KIM,92
1661,ESP,https://www.worldathletics.org/athletes/spain/vanesa-veiga-14260269,2:46:53,Vanessa VEIGA,93
2402,LAT,https://www.worldathletics.org/athletes/latvia/dace-lina-14458599,2:47:47,Dace LINA,94
2992,SVK,https://www.worldathletics.org/athletes/slovak-republic/katarína-pejpkova-berešová-14301373,2:48:11,Katarina BÉREŠOVÁ,95
1085,AUS,https://www.worldathletics.org/athletes/australia/benita-willis-johnson-14271064,2:49:38,Benita WILLIS,96
2906,RWA,https://www.worldathletics.org/athletes/rwanda/claudette-mukasakindi-14299953,2:51:07,Claudette MUKASAKINDI,97
2516,MGL,https://www.worldathletics.org/athletes/mongolia/otgonbayar-luvsanlkhundeg-14291305,2:52:15,Otgonbayar LUVSANLUNDEG,98
1674,EST,https://www.worldathletics.org/athletes/estonia/evelin-talts-14260141,2:54:15,Evelin TALTS,99
1992,GRE,https://www.worldathletics.org/athletes/greece/konstantina-kefala-14280689,3:01:18,Konstadína KEFALÁ,100
2535,MYA,https://www.worldathletics.org/athletes/myanmar/ni-lar-san-14291418,3:04:27,Ni Lar SAN,101
3027,TLS,https://www.worldathletics.org/athletes/timor-leste/juventina-napoleao-14446466,3:05:07,Juventina NAPOLEAO,102
2107,IRL,https://www.worldathletics.org/athletes/ireland/catriona-jennings-14275449,3:22:11,Caitriona JENNINGS,103
1424,COL,https://www.worldathletics.org/athletes/colombia/yolanda-caballero-14264046,DQ,Yolanda CABALLERO,"(None,)"
3085,TUR,https://www.worldathletics.org/athletes/turkey/bahar-doğan-14303236,DQ,Bahar DOGAN,"(None,)"
3094,TUR,https://www.worldathletics.org/athletes/turkey/ümmü-kiraz-14303292,DQ,Ümmü KIRAZ,"(None,)"
3161,UKR,https://www.worldathletics.org/athletes/ukraine/tetyana-gamera-14303581,DQ,Tetiana SHMYRKO,"(None,)"
2895,RUS,https://www.worldathletics.org/athletes/russia/liliya-shobukhova-14299314,DQ,Liliya SHOBUKHOVA,"(None,)"
1390,CHN,https://www.worldathletics.org/athletes/pr-of-china/jiali-wang-14265125,DQ,Jiali WANG,"(None,)"
3159,UKR,https://www.worldathletics.org/athletes/ukraine/tetyana-filonyuk-14303567,DNF,Tetyana FILONYUK,"(None,)"
2955,SRB,https://www.worldathletics.org/athletes/serbia/olivera-jevtić-14300350,DNF,Olivera JEVTIC,"(None,)"
1154,BIH,https://www.worldathletics.org/athletes/bosniaherzegovina/lucia-mwihaki-kimani-14270036,DNF,Lucia Mwihaki KIMANI,"(None,)"
2558,NED,https://www.worldathletics.org/athletes/netherlands/lornah-kiplagat-14291787,DNF,Lornah KIPLAGAT,"(None,)"
2471,MAR,https://www.worldathletics.org/athletes/morocco/soumiya-laabani-14290703,DNF,Soumiya LABANI,"(None,)"
3282,USA,https://www.worldathletics.org/athletes/united-states/desiree-linden-14308638,DNF,Desireé LINDEN,"(None,)"
3369,ZIM,https://www.worldathletics.org/athletes/zimbabwe/sharon-tavengwa-14325382,DNF,Sharon TAVENGWA,"(None,)"
2795,RSA,https://www.worldathletics.org/athletes/south-africa/irvette-van-zyl-14296979,DNF,Irvette VAN ZYL,"(None,)"
1880,GBR,https://www.worldathletics.org/athletes/great-britain-ni/mara-yamauchi-14276819,DNF,Mara YAMAUCHI,"(None,)"
958,KEN,https://www.worldathletics.org/athletes/kenya/jemima-jelagat-sumgong-14289014,2:24:04,Jemima Jelagat SUMGONG,1
452,BRN,https://www.worldathletics.org/athletes/bahrain/eunice-jepkirui-kirwa-14289179,2:24:13,Eunice Jepkirui KIRWA,2
644,ETH,https://www.worldathletics.org/athletes/ethiopia/mare-dibaba-14326294,2:24:30,Mare DIBABA,3
