BIB,country,link,mark,name,position
2756,KEN,https://www.worldathletics.org/athletes/kenya/peres-jepchirchir-14593938,2:27:20,Peres JEPCHIRCHIR,1
2761,KEN,https://www.worldathletics.org/athletes/kenya/brigid-kosgei-14730790,2:27:36,Brigid KOSGEI,2
3891,USA,https://www.worldathletics.org/athletes/united-states/molly-seidel-14437057,2:27:46,Molly SEIDEL,3
1839,ETH,https://www.worldathletics.org/athletes/ethiopia/roza-dereje-14732953,2:28:38,Roza DEREJE,4
1238,BLR,https://www.worldathletics.org/athletes/belarus/volha-mazuronak-14269741,2:29:06,Volha MAZURONAK,5
2110,GER,https://www.worldathletics.org/athletes/germany/melat-yisak-kejeta-14466358,2:29:16,Melat Yisak KEJETA,6
1344,BRN,https://www.worldathletics.org/athletes/bahrain/eunice-chebichii-chumba-14423913,2:29:36,Eunice Chebichii CHUMBA,7
2666,JPN,https://www.worldathletics.org/athletes/japan/mao-ichiyama-14695498,2:30:13,Mao ICHIYAMA,8
1392,CAN,https://www.worldathletics.org/athletes/canada/malindi-elmore-14268042,2:30:59,Malindi ELMORE,9
1054,AUS,https://www.worldathletics.org/athletes/australia/sinead-diver-14490253,2:31:14,Sinead DIVER,10
2974,NAM,https://www.worldathletics.org/athletes/namibia/helalia-johannes-14291432,2:31:22,Helalia JOHANNES,11
3514,SUI,https://www.worldathletics.org/athletes/switzerland/fabienne-schlumpf-14940420,2:31:36,Fabienne SCHLUMPF,12
1416,CAN,https://www.worldathletics.org/athletes/canada/natasha-wodak-14266948,2:31:41,Natasha WODAK,13
3175,POL,https://www.worldathletics.org/athletes/poland/karolina-nadolska-14293773,2:32:04,Karolina NADOLSKA,14
3387,RSA,https://www.worldathletics.org/athletes/south-africa/gerda-steyn-14730601,2:32:10,Gerda STEYN,15
3702,UGA,https://www.worldathletics.org/athletes/uganda/immaculate-chemutai-14360508,2:32:23,Immaculate CHEMUTAI,16
3859,USA,https://www.worldathletics.org/athletes/united-states/sally-kipyego-14289173,2:32:53,Sally KIPYEGO,17
2135,GER,https://www.worldathletics.org/athletes/germany/deborah-schöneborn-14587891,2:33:08,Deborah SCHÖNEBORN,18
2677,JPN,https://www.worldathletics.org/athletes/japan/ayuko-suzuki-14428635,2:33:14,Ayuko SUZUKI,19
2859,LES,https://www.worldathletics.org/athletes/lesotho/neheng-khatala-14442242,2:33:15,Neheng KHATALA,20
1567,CRO,https://www.worldathletics.org/athletes/croatia/matea-parlov-koštro-14329614,2:33:18,Matea PARLOV KOŠTRO,21
3558,SWE,https://www.worldathletics.org/athletes/sweden/carolina-wikström-14857083,2:33:19,Carolina WIKSTRÖM,22
1068,AUS,https://www.worldathletics.org/athletes/australia/ellie-pashley-14448453,2:33:39,Ellie PASHLEY,23
3582,TAN,https://www.worldathletics.org/athletes/tanzania/failuna-matanga-14543640,2:33:58,Failuna MATANGA,24
2338,IRL,https://www.worldathletics.org/athletes/ireland/fionnuala-mccormack-14283143,2:34:09,Fionnuala MCCORMACK,25
1073,AUS,https://www.worldathletics.org/athletes/australia/lisa-weightman-14271094,2:34:19,Lisa WEIGHTMAN,26
3137,PER,https://www.worldathletics.org/athletes/peru/gladys-tejeda-14383678,2:34:21,Gladys TEJEDA,27
1177,BEL,https://www.worldathletics.org/athletes/belgium/mieke-gorissen-14911853,2:34:24,Mieke GORISSEN,28
1770,ESP,https://www.worldathletics.org/athletes/spain/elena-loyo-14613625,2:34:38,Elena LOYO,29
3231,POR,https://www.worldathletics.org/athletes/portugal/salomé-rocha-14295060,2:34:52,Salomé ROCHA,30
2141,GER,https://www.worldathletics.org/athletes/germany/katharina-steinruck-14277958,2:35:00,Katharina STEINRUCK,31
2391,ITA,https://www.worldathletics.org/athletes/italy/giovanna-epis-14284281,2:35:09,Giovanna EPIS,32
2673,JPN,https://www.worldathletics.org/athletes/japan/honami-maeda-14643309,2:35:28,Honami MAEDA,33
2812,KOR,https://www.worldathletics.org/athletes/korea/kyungsun-choi-14334611,2:35:33,Kyungsun CHOI,34
3173,POL,https://www.worldathletics.org/athletes/poland/aleksandra-lisowska-14336154,2:35:33,Aleksandra LISOWSKA,35
2800,KGZ,https://www.worldathletics.org/athletes/kirghizistan/darya-maslova-14583875,2:35:35,Darya MASLOVA,36
1766,ESP,https://www.worldathletics.org/athletes/spain/marta-galimany-14329379,2:35:39,Marta GALIMANY,37
1925,FRA,https://www.worldathletics.org/athletes/france/susan-jeptooo-14523812,2:36:29,Susan JEPTOOO,38
2002,GBR,https://www.worldathletics.org/athletes/great-britain-ni/stephanie-davis-14815524,2:36:33,Stephanie DAVIS,39
3136,PER,https://www.worldathletics.org/athletes/peru/jovana-de-la-cruz-capani-14375651,2:36:38,Jovana DE LA CRUZ CAPANI,40
1699,ECU,https://www.worldathletics.org/athletes/ecuador/rosa-chacha-14262327,2:36:44,Rosa CHACHA,41
3755,UKR,https://www.worldathletics.org/athletes/ukraine/yevheniya-prokofyeva-14532634,2:36:47,Yeheniya PROKOFYEVA,42
1745,ERI,https://www.worldathletics.org/athletes/eritrea/nazret-weldu-14262207,2:37:01,Nazret WELDU,43
2992,NED,https://www.worldathletics.org/athletes/netherlands/andrea-deeltstra-14291595,2:37:05,Andrea DEELTSTRA,44
2942,MGL,https://www.worldathletics.org/athletes/mongolia/munkhzaya-bayartsogt-14632541,2:37:08,Munkhzaya BAYARTSOGT,45
2736,KAZ,https://www.worldathletics.org/athletes/kazakhstan/zhanna-mamazhanova-14498228,2:37:42,Zhanna MAMAZHANOVA,46
1490,CHN,https://www.worldathletics.org/athletes/pr-of-china/deshun-zhang-14693572,2:37:45,Deshun ZHANG,47
2366,ISR,https://www.worldathletics.org/athletes/israel/maor-tiyouri-14283592,2:37:52,Maor TIYOURI,48
1184,BEL,https://www.worldathletics.org/athletes/belgium/hanne-verbruggen-14599545,2:38:03,Hanne VERBRUGGEN,49
1242,BLR,https://www.worldathletics.org/athletes/belarus/nina-savina-14421166,2:38:41,Nina SAVINA,50
3517,SUI,https://www.worldathletics.org/athletes/switzerland/martina-strähl-14366123,2:39:25,Martina STRÄHL,51
1621,CZE,https://www.worldathletics.org/athletes/czech-republic/marcela-joglová-14263037,2:39:29,Marcela JOGLOVÁ,52
1565,CRO,https://www.worldathletics.org/athletes/croatia/bojana-bjeljac-14665027,2:39:32,Bojana BJELJAC,53
2910,MDA,https://www.worldathletics.org/athletes/moldova/lilia-fisikovici-14941192,2:39:59,Lilia FISIKOVICI,54
1539,COL,https://www.worldathletics.org/athletes/colombia/angie-orjuela-14521783,2:40:04,Angie ORJUELA,55
