BIB,country,link,mark,name,position
2067,GBR,https://www.worldathletics.org/athletes/great-britain-ni/chris-thompson-14191000,2:21:29,Chris THOMPSON,54
2944,MGL,https://www.worldathletics.org/athletes/mongolia/byambajav-tseveenravdan-14382710,2:21:32,Byambajav TSEVEENRAVDAN,55
2933,MEX,https://www.worldathletics.org/athletes/mexico/jose-luis-santana-marin-14721049,2:21:32,Jose Luis SANTANA MARIN,56
1493,CHN,https://www.worldathletics.org/athletes/pr-of-china/guojian-dong-14172732,2:21:35,Guojian DONG,57
2351,IRL,https://www.worldathletics.org/athletes/ireland/kevin-seaward-14190722,2:21:45,Kevin SEAWARD,58
1197,BEL,https://www.worldathletics.org/athletes/belgium/dieter-kersten-14584239,2:22:06,Dieter KERSTEN,59
3138,PER,https://www.worldathletics.org/athletes/peru/christian-pacheco-14609456,2:22:12,Christian PACHECO,60
1113,AUT,https://www.worldathletics.org/athletes/austria/peter-herzog-14748637,2:22:15,Peter HERZOG,61
2706,JPN,https://www.worldathletics.org/athletes/japan/shogo-nakamura-14438719,2:22:23,Shogo NAKAMURA,62
3193,POL,https://www.worldathletics.org/athletes/poland/arkadiusz-gardzielewski-14216641,2:22:50,Arkadiusz GARDZIELEWSKI,63
3102,NZL,https://www.worldathletics.org/athletes/new-zealand/malcolm-hicks-14373143,2:23:12,Malcolm HICKS,64
2931,MEX,https://www.worldathletics.org/athletes/mexico/juan-pacheco-14593015,2:23:41,Juan PACHECO,65
1096,AUS,https://www.worldathletics.org/athletes/australia/brett-robinson-14336706,2:24:04,Brett ROBINSON,66
2860,LES,https://www.worldathletics.org/athletes/lesotho/khoarahlane-seutloali-14763095,2:25:03,Khoarahlane SEUTLOALI,67
1823,EST,https://www.worldathletics.org/athletes/estonia/roman-fosti-14164634,2:25:37,Roman FOSTI,68
1315,BRA,https://www.worldathletics.org/athletes/brazil/paulo-roberto-paula-14175971,2:26:08,Paulo Roberto DE ALMEIDA PAULA,69
1666,DEN,https://www.worldathletics.org/athletes/denmark/thijs-nijhuis-14941421,2:26:59,Thijs NIJHUIS,70
2348,IRL,https://www.worldathletics.org/athletes/ireland/paul-pollock-14199075,2:27:48,Paul POLLOCK,71
1432,CAN,https://www.worldathletics.org/athletes/canada/cameron-levins-14326707,2:28:43,Cameron LEVINS,72
2691,JPN,https://www.worldathletics.org/athletes/japan/yuma-hattori-14435284,2:30:08,Yuma HATTORI,73
2929,MEX,https://www.worldathletics.org/athletes/mexico/jesús-arturo-esparza-14388745,2:31:51,Jesús Arturo ESPARZA,74
3124,PAN,https://www.worldathletics.org/athletes/panama/jorge-castelblanco-14456898,2:33:22,Jorge CASTELBLANCO,75
2262,HON,https://www.worldathletics.org/athletes/honduras/iván-zarco-14361244,2:44:36,Iván ZARCO,76
2777,KEN,https://www.worldathletics.org/athletes/kenya/amos-kipruto-14694013,DNF,Amos KIPRUTO,"(None,)"
3029,NED,https://www.worldathletics.org/athletes/netherlands/bart-van-nunen-14473963,DNF,Bart VAN NUNEN,"(None,)"
3423,RSA,https://www.worldathletics.org/athletes/south-africa/stephen-mokoka-14220671,DNF,Stephen MOKOKA,"(None,)"
1863,ETH,https://www.worldathletics.org/athletes/ethiopia/lelisa-desisa-14377814,DNF,Lelisa DESISA,"(None,)"
3454,RWA,https://www.worldathletics.org/athletes/rwanda/john-hakizimana-14689968,DNF,John HAKIZIMANA,"(None,)"
3018,NED,https://www.worldathletics.org/athletes/netherlands/khalid-choukoud-14213752,DNF,Khalid CHOUKOUD,"(None,)"
3188,POL,https://www.worldathletics.org/athletes/poland/marcin-chabowski-14216466,DNF,Marcin CHABOWSKI,"(None,)"
2041,GBR,https://www.worldathletics.org/athletes/great-britain-ni/ben-connor-14428085,DNF,Ben CONNOR,"(None,)"
3422,RSA,https://www.worldathletics.org/athletes/south-africa/pheeha-mokgobo-14362555,DNF,Pheeha MOKGOBO,"(None,)"
2943,MGL,https://www.worldathletics.org/athletes/mongolia/ser-od-bat-ochir-14867157,DNF,Ser-Od BAT-OCHIR,"(None,)"
1316,BRA,https://www.worldathletics.org/athletes/brazil/daniel-do-nascimento-14646503,DNF,Daniel DO NASCIMENTO,"(None,)"
3518,SUI,https://www.worldathletics.org/athletes/switzerland/tadesse-abraham-14167400,DNF,Tadesse ABRAHAM,"(None,)"
2435,ITA,https://www.worldathletics.org/athletes/italy/yassine-rachik-14434310,DNF,Yassine RACHIK,"(None,)"
2048,GBR,https://www.worldathletics.org/athletes/great-britain-ni/callum-hawkins-14371841,DNF,Callum HAWKINS,"(None,)"
3776,UKR,https://www.worldathletics.org/athletes/ukraine/bohdan-ivan-horodyskyy-14479900,DNF,Bohdan-Ivan HORODYSKYY,"(None,)"
3665,TUR,https://www.worldathletics.org/athletes/turkey/polat-kemboi-arikan-14207925,DNF,Polat Kemboi ARIKAN,"(None,)"
1542,COL,https://www.worldathletics.org/athletes/colombia/ivan-dario-gonzalez-14170118,DNF,Ivan Dario GONZALEZ,"(None,)"
1870,ETH,https://www.worldathletics.org/athletes/ethiopia/sisay-lemma-14547527,DNF,Sisay LEMMA,"(None,)"
1351,BRN,https://www.worldathletics.org/athletes/bahrain/shumi-dechasa-14378482,DNF,Shumi DECHASA,"(None,)"
3792,UKR,https://www.worldathletics.org/athletes/ukraine/mykola-nyzhnyk-14535090,DNF,Mykola NYZHNYK,"(None,)"
1114,AUT,https://www.worldathletics.org/athletes/austria/lemawork-ketema-14469221,DNF,Lemawork KETEMA,"(None,)"
2350,IRL,https://www.worldathletics.org/athletes/ireland/stephen-scullion-14199103,DNF,Stephen SCULLION,"(None,)"
2814,KOR,https://www.worldathletics.org/athletes/korea/joohan-oh-14492925,DNF,Joohan OH,"(None,)"
1350,BRN,https://www.worldathletics.org/athletes/bahrain/alemu-bekele-14383576,DNF,Alemu BEKELE,"(None,)"
3713,UGA,https://www.worldathletics.org/athletes/uganda/stephen-kiprotich-14229607,DNF,Stephen KIPROTICH,"(None,)"
3583,TAN,https://www.worldathletics.org/athletes/tanzania/gabriel-gerald-geay-14677692,DNF,Gabriel Gerald GEAY,"(None,)"
1314,BRA,https://www.worldathletics.org/athletes/brazil/daniel-chaves-da-silva-14176105,DNF,Daniel Chaves DA SILVA,"(None,)"
3799,UKR,https://www.worldathletics.org/athletes/ukraine/oleksandr-sitkovskiy-14230610,DNF,Oleksandr SITKOVSKIY,"(None,)"
1868,ETH,https://www.worldathletics.org/athletes/ethiopia/shura-kitata-14730723,DNF,Shura KITATA,"(None,)"
1094,AUS,https://www.worldathletics.org/athletes/australia/jack-rayner-14517160,DNF,Jack RAYNER,"(None,)"
