competition,country,link,mark,name,position
maratonamasc2012,POR,https://www.worldathletics.org/athletes/portugal/luis-feiteira-14218189,2:19:40,Luís FEITEIRA,48
maratonamasc2012,RSA,https://www.worldathletics.org/athletes/south-africa/stephen-mokoka-14220671,2:19:52,Stephen MOKOKA,49
maratonamasc2012,ECU,https://www.worldathletics.org/athletes/ecuador/miguel-ángel-almachi-14435653,2:19:53,Miguel Ángel ALMACHI,50
maratonamasc2012,MGL,https://www.worldathletics.org/athletes/mongolia/ser-od-bat-ochir-14867157,2:20:10,Ser-Od BAT-OCHIR,51
maratonamasc2012,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/song-chol-pak-14218725,2:20:20,Song-Chol PAK,52
maratonamasc2012,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/kwang-hyok-kim-14520475,2:20:20,Kwang-Hyok KIM,53
maratonamasc2012,CHN,https://www.worldathletics.org/athletes/pr-of-china/guojian-dong-14172732,2:20:39,Guojian DONG,54
maratonamasc2012,SRI,https://www.worldathletics.org/athletes/sri-lanka/anuradha-indraji-cooraj-14225495,2:20:41,Anuradha Indrajith COORAY,55
maratonamasc2012,JOR,https://www.worldathletics.org/athletes/jordan/methkal-marouf-abu-drais-14202345,2:21:00,Methkal ABU DRAIS,56
maratonamasc2012,IRL,https://www.worldathletics.org/athletes/ireland/mark-kenneally-14198933,2:21:13,Mark KENNEALLY,57
maratonamasc2012,ERI,https://www.worldathletics.org/athletes/eritrea/yonas-kifle-14167417,2:21:25,Yonas KIFLE,58
maratonamasc2012,UKR,https://www.worldathletics.org/athletes/ukraine/ivan-babaryka-14229704,2:21:52,Ivan BABARYKA,59
maratonamasc2012,MEX,https://www.worldathletics.org/athletes/mexico/carlos-cordero-gomez-14212865,2:22:08,Carlos CORDERO,60
maratonamasc2012,GBR,https://www.worldathletics.org/athletes/great-britain-ni/scott-overall-14190372,2:22:37,Scott OVERALL,61
maratonamasc2012,VEN,https://www.worldathletics.org/athletes/venezuela/pedro-mora-14256161,2:22:40,Pedro MORA,62
maratonamasc2012,AUS,https://www.worldathletics.org/athletes/australia/jeffrey-hunt-14179480,2:22:59,Jeff HUNT,63
maratonamasc2012,BLR,https://www.worldathletics.org/athletes/belarus/stsiapan-rahautsou-14176629,2:23:23,Stsiapan RAHAUTSOU,64
maratonamasc2012,CRC,https://www.worldathletics.org/athletes/costa-rica/cesar-andres-lizano-14169927,2:24:16,César LIZANO,65
maratonamasc2012,TAN,https://www.worldathletics.org/athletes/tanzania/samson-ramadhani-14228412,2:24:53,Samson RAMADHANI,66
maratonamasc2012,CZE,https://www.worldathletics.org/athletes/czech-republic/jan-kreisinger-14168654,2:25:03,Jan KREISINGER,67
maratonamasc2012,QAT,https://www.worldathletics.org/athletes/qatar/mohamed-abdou-bakhet-14218963,2:25:17,Mohammed Abduh BAKHET,68
maratonamasc2012,FIN,https://www.worldathletics.org/athletes/finland/jussi-utriainen-14182644,2:26:25,Jussi UTRIAINEN,69
maratonamasc2012,MEX,https://www.worldathletics.org/athletes/mexico/arturo-malaquias-delgado-14213042,2:26:37,Arturo MALAQUIAS,70
maratonamasc2012,TUN,https://www.worldathletics.org/athletes/tunisia/wissam-hosni-14330386,2:26:43,Wissem HOSNI,71
maratonamasc2012,HUN,https://www.worldathletics.org/athletes/hungary/tamás-kovács-14196730,2:27:48,Tamás KOVÁCS,72
maratonamasc2012,KOR,https://www.worldathletics.org/athletes/korea/sinkweon-jang-14210186,2:28:20,Sinkweon JANG,73
maratonamasc2012,AND,https://www.worldathletics.org/athletes/andorra/antoni-bernadó-14180594,2:28:34,Antoni BERNADÓ,74
maratonamasc2012,LIE,https://www.worldathletics.org/athletes/liechtenstein/marcel-tschopp-14211246,2:28:54,Marcel TSCHOPP,75
maratonamasc2012,TUR,https://www.worldathletics.org/athletes/turkey/bekir-karayel-14229405,2:29:38,Bekir KARAYEL,76
maratonamasc2012,TPE,https://www.worldathletics.org/athletes/chinese-taipei/chia-che-chang-14228682,2:29:58,Chia-Che CHANG,77
maratonamasc2012,IND,https://www.worldathletics.org/athletes/india/ram-yadav-singh-14198542,2:30:06,Ram Singh YADAV,78
maratonamasc2012,RWA,https://www.worldathletics.org/athletes/rwanda/jean-pierre-mvuyekure-14224742,2:30:19,Jean Pierre MVUYEKURE,79
maratonamasc2012,GRE,https://www.worldathletics.org/athletes/greece/konstantinos-poulios-14195451,2:33:17,Konstadínos POÚLIOS,80
maratonamasc2012,ISR,https://www.worldathletics.org/athletes/israel/zohar-zimro-14380641,2:34:59,Zohar ZIMRO,81
maratonamasc2012,KOR,https://www.worldathletics.org/athletes/korea/jin-hyeong-jeong-14383707,2:38:45,Jinhyeok JEONG,82
maratonamasc2012,COL,https://www.worldathletics.org/athletes/colombia/juan-carlos-cardona-14170146,2:40:13,Juan Carlos CARDONA,83
maratonamasc2012,TLS,https://www.worldathletics.org/athletes/timor-leste/augusto-ramor-soares-14386501,2:45:09,Augusto SOARES,84
maratonamasc2012,LES,https://www.worldathletics.org/athletes/lesotho/tshepo-mathibelle-14412724,2:55:54,Tshepo MATHIBELLE,85
maratonamasc2012,MAR,https://www.worldathletics.org/athletes/morocco/abderrahim-bouramdane-14211941,DQ,Abderrahime BOURAMDANE,"(None,)"
maratonamasc2012,SRB,https://www.worldathletics.org/athletes/serbia/darko-živanović-14373420,DNF,Darko ŽIVANOVIC,"(None,)"
maratonamasc2012,LAT,https://www.worldathletics.org/athletes/latvia/valērijs-žolnerovičs-14211125,DNF,Valerijs ŽOLNEROVICS,"(None,)"
maratonamasc2012,USA,https://www.worldathletics.org/athletes/united-states/abdi-abdirahman-14230897,DNF,Abdihakem ABDIRAHMAN,"(None,)"
maratonamasc2012,ETH,https://www.worldathletics.org/athletes/ethiopia/ayele-abshero-14181296,DNF,Ayele ABSHERO,"(None,)"
maratonamasc2012,LBA,https://www.worldathletics.org/athletes/libya/ali-mabruk-el-zaidi-14211141,DNF,Ali Mabrouk EL ZAIDI,"(None,)"
