competition,country,link,mark,name,position
maratonafem2016,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/kum-ok-kim-14295210,2:38:24,Kum-Ok KIM,49
maratonafem2016,ALG,https://www.worldathletics.org/athletes/algeria/kenza-dahmani-14272839,2:38:37,Kenza DAHMANI TIFAHI,50
maratonafem2016,FIN,https://www.worldathletics.org/athletes/finland/anne-mari-hyryläinen-14378768,2:39:02,Anne-Mari HYRYLÄINEN,51
maratonafem2016,HUN,https://www.worldathletics.org/athletes/hungary/zsófia-erdélyi-14281461,2:39:04,Zsófia ERDÉLYI,52
maratonafem2016,CHN,https://www.worldathletics.org/athletes/pr-of-china/chao-yue-14264528,2:39:09,Chao YUE,53
maratonafem2016,UZB,https://www.worldathletics.org/athletes/uzbekistan/sitora-khamidova-14325015,2:39:45,Sitora KHAMIDOVA,54
maratonafem2016,DEN,https://www.worldathletics.org/athletes/denmark/anna-holm-jørgensen-14262507,2:39:49,Anna HOLM JØRGENSEN,55
maratonafem2016,NAM,https://www.worldathletics.org/athletes/namibia/helalia-johannes-14291432,2:39:55,Helalia JOHANNES,56
maratonafem2016,IRL,https://www.worldathletics.org/athletes/ireland/lizzie-lee-14427789,2:39:57,Lizzie LEE,57
maratonafem2016,TUR,https://www.worldathletics.org/athletes/turkey/esma-aydemir-14378580,2:39:59,Esma AYDEMIR,58
maratonafem2016,KGZ,https://www.worldathletics.org/athletes/kirghizistan/iuliia-andreeva-14522921,2:40:34,Iuliia ANDREEVA,59
maratonafem2016,NED,https://www.worldathletics.org/athletes/netherlands/andrea-deeltstra-14291595,2:40:49,Andrea DEELSTRA,60
maratonafem2016,LAT,https://www.worldathletics.org/athletes/latvia/ilona-marhele-14290029,2:41:02,Ilona MARHELE,61
maratonafem2016,KGZ,https://www.worldathletics.org/athletes/kirghizistan/viktoriya-polyudina-14289563,2:41:37,Viktoriia POLIUDINA,62
maratonafem2016,RSA,https://www.worldathletics.org/athletes/south-africa/lebo-dinah-phalula-14296741,2:41:46,Dina Lebo PHALULA,63
maratonafem2016,AUT,https://www.worldathletics.org/athletes/austria/andrea-mayr-14270847,2:41:52,Andrea MAYR,64
maratonafem2016,HUN,https://www.worldathletics.org/athletes/hungary/krisztina-papp-14282184,2:42:03,Krisztina PAPP,65
maratonafem2016,UKR,https://www.worldathletics.org/athletes/ukraine/svitlana-stanko-klymenko-14304232,2:42:26,Svitlana STANKO-KLYMENKO,66
maratonafem2016,PLE,https://www.worldathletics.org/athletes/palestine/mayada-al-sayad-14361426,2:42:28,Mayada AL SAYAD,67
maratonafem2016,UGA,https://www.worldathletics.org/athletes/uganda/adero-nyakisi-14289374,2:42:39,Adero NYAKISI,68
