BIB,country,link,mark,name,position
"(None,)",ITA,https://www.worldathletics.org/athletes/italy/stefano-baldini-14199529,2:10:55,Stefano BALDINI,1
"(None,)",USA,https://www.worldathletics.org/athletes/united-states/mebrahtom-keflezighi-14242705,2:11:29,Mebrahtom KEFLEZIGHI,2
"(None,)",BRA,https://www.worldathletics.org/athletes/brazil/vanderlei-cordeiro-da-lima-14176124,2:12:11,Vanderlei DE LIMA,3
"(None,)",CAN,https://www.worldathletics.org/athletes/great-britain-ni/jon-brown-14188673,2:12:26,Jon BROWN,4
"(None,)",JPN,https://www.worldathletics.org/athletes/japan/shigeru-aburaya-14202404,2:13:11,Shigeru ABURAYA,5
"(None,)",JPN,https://www.worldathletics.org/athletes/japan/toshinari-suwa-14205963,2:13:24,Toshinari SUWA,6
"(None,)",KEN,https://www.worldathletics.org/athletes/kenya/erick-wainaina-14209939,2:13:30,Erick WAINAINA,7
"(None,)",POR,https://www.worldathletics.org/athletes/portugal/alberto-chaica-14218098,2:14:17,Alberto CHAÍÇA,8
"(None,)",ITA,https://www.worldathletics.org/athletes/italy/alberico-di-cecco-14200188,2:14:34,Alberico DI CECCO,9
"(None,)",KEN,https://www.worldathletics.org/athletes/kenya/paul-tergat-14209893,2:14:45,Paul TERGAT,10
"(None,)",MAR,https://www.worldathletics.org/athletes/morocco/jaouad-gharib-14212160,2:15:12,Jaouad GHARIB,11
"(None,)",USA,https://www.worldathletics.org/athletes/united-states/alan-culpepper-14235692,2:15:26,Alan CULPEPPER,12
"(None,)",RUS,https://www.worldathletics.org/athletes/russia/leonid-shvetsov-14223996,2:15:28,Leonid SHVETSOV,13
"(None,)",KOR,https://www.worldathletics.org/athletes/korea/bong-ju-lee-14210353,2:15:33,Bong-ju LEE,14
"(None,)",ETH,https://www.worldathletics.org/athletes/ethiopia/ambesse-tolossa-14181672,2:15:39,Ambesse TOLOSA,15
"(None,)",RSA,https://www.worldathletics.org/athletes/south-africa/gert-thys-14221287,2:16:08,Gert THYS,16
"(None,)",KOR,https://www.worldathletics.org/athletes/korea/young-joon-ji-14210196,2:16:14,Youngjun JI,17
"(None,)",ESP,https://www.worldathletics.org/athletes/spain/antonio-pena-14165447,2:16:38,Antoni PEÑA,18
"(None,)",RUS,https://www.worldathletics.org/athletes/russia/grigoriy-andreyev-14221650,2:16:55,Grigoriy ANDREEV,19
"(None,)",ISR,https://www.worldathletics.org/athletes/israel/haile-satayin-14199359,2:17:25,Seteng AYELE,20
"(None,)",NZL,https://www.worldathletics.org/athletes/new-zealand/jonathan-wyatt-14215949,2:17:45,Jonathan WYATT,21
"(None,)",FIN,https://www.worldathletics.org/athletes/finland/janne-holmén-14181921,2:17:50,Janne HOLMÉN,22
"(None,)",GBR,https://www.worldathletics.org/athletes/great-britain-ni/daniel-robinson-14190627,2:17:53,Dan ROBINSON,23
"(None,)",GRE,https://www.worldathletics.org/athletes/greece/nikolaos-pollias-14195442,2:17:56,Nikólaos POLIÁS,24
"(None,)",BOT,https://www.worldathletics.org/athletes/botswana/ndabili-bashingili-14176362,2:18:09,Ndabili BASHINGILI,25
"(None,)",EST,https://www.worldathletics.org/athletes/estonia/pavel-loskutov-14181061,2:18:09,Pavel LOSKUTOV,26
"(None,)",ESP,https://www.worldathletics.org/athletes/spain/josé-ríos-14165245,2:18:40,José RÍOS,27
"(None,)",AUS,https://www.worldathletics.org/athletes/australia/lee-troop-14178659,2:18:46,Lee TROOP,28
"(None,)",AUT,https://www.worldathletics.org/athletes/austria/michael-buchleitner-14178476,2:19:19,Michael BUCHLEITNER,29
"(None,)",SRI,https://www.worldathletics.org/athletes/sri-lanka/anuradha-indraji-cooraj-14225495,2:19:24,Anuradha Indrajith COORAY,30
"(None,)",CHN,https://www.worldathletics.org/athletes/pr-of-china/zhuhong-li-14172025,2:19:26,Zhuhong LI,31
"(None,)",BDI,https://www.worldathletics.org/athletes/burundi/joachim-nshimirimana-14177775,2:19:31,Joachim NSHIMIRIMANA,32
"(None,)",NZL,https://www.worldathletics.org/athletes/new-zealand/dale-warrender-14215927,2:19:42,Dale WARRENDER,33
"(None,)",POL,https://www.worldathletics.org/athletes/poland/waldemar-glinka-14216656,2:19:43,Waldemar GLINKA,34
"(None,)",PRK,https://www.worldathletics.org/athletes/dpr-of-korea/jang-myong-chol-14218711,2:19:47,Myong-Chol JONG,35
"(None,)",FRA,https://www.worldathletics.org/athletes/france/el-hassan-lahssini-14185736,2:19:50,El Hassan LAHSSINI,36
"(None,)",POL,https://www.worldathletics.org/athletes/poland/michał-bartoszak-14216350,2:20:20,Michal BARTOSZAK,37
"(None,)",QAT,https://www.worldathletics.org/athletes/qatar/ahmed-jaber-14219050,2:20:27,Ahmed Jumah JABER,38
"(None,)",LBA,https://www.worldathletics.org/athletes/libya/ali-mabruk-el-zaidi-14211141,2:20:31,Ali Mabrouk EL ZAIDI,39
"(None,)",TAN,https://www.worldathletics.org/athletes/tanzania/samson-ramadhani-14228412,2:20:38,Samson RAMADHANI,40
"(None,)",KOR,https://www.worldathletics.org/athletes/korea/myong-seun-lee-14210397,2:21:01,Myongseung LEE,41
"(None,)",JPN,https://www.worldathletics.org/athletes/japan/tomoaki-kunichika-14204177,2:21:13,Tomoaki KUNICHIKA,42
"(None,)",COL,https://www.worldathletics.org/athletes/colombia/jose-alirio-carrasco-14170144,2:21:14,José Alirio CARRASCO,43
"(None,)",CAF,https://www.worldathletics.org/athletes/central-african-republic/ernest-ndjissipou-14174737,2:21:23,Ernest NDJISSIPOU,44
"(None,)",AUS,https://www.worldathletics.org/athletes/australia/nick-harrison-14179558,2:21:42,Nicholas HARRISON,45
"(None,)",ETH,https://www.worldathletics.org/athletes/ethiopia/teferi-wodajo-14181698,2:21:53,Teferi WODAJO,46
