competition,country,gender,link,mark,name,position,sport
14th IAAF World Championships,PRK,F,https://www.worldathletics.org/athletes/dpr-of-korea/mi-gyong-kim-14375857,DNF,Mi-Gyong KIM,"(None,)","(['Marathon'],)"
14th IAAF World Championships,KEN,F,https://www.worldathletics.org/athletes/kenya/valentine-kipketer-14940429,DNF,Valentine Jepkorir KIPKETER,"(None,)","(['Marathon'],)"
14th IAAF World Championships,TUR,F,https://www.worldathletics.org/athletes/turkey/ümmü-kiraz-14303292,DQ,Ümmü KIRAZ,"(None,)","(['Marathon'],)"
14th IAAF World Championships,MGL,F,https://www.worldathletics.org/athletes/mongolia/otgonbayar-luvsanlkhundeg-14291305,DNF,Otgonbayar LUVSANLUNDEG,"(None,)","(['Marathon'],)"
14th IAAF World Championships,IRL,F,https://www.worldathletics.org/athletes/ireland/maria-mccambridge-14283287,DNF,Maria MCCAMBRIDGE,"(None,)","(['Marathon'],)"
14th IAAF World Championships,ETH,F,https://www.worldathletics.org/athletes/ethiopia/meselech-melkamu-14259772,DNF,Meselech MELKAMU,"(None,)","(['Marathon'],)"
14th IAAF World Championships,NAM,F,https://www.worldathletics.org/athletes/namibia/beata-naigambo-14291442,DNF,Beata NAIGAMBO,"(None,)","(['Marathon'],)"
14th IAAF World Championships,JPN,F,https://www.worldathletics.org/athletes/japan/mizuki-noguchi-14287473,DNF,Mizuki NOGUCHI,"(None,)","(['Marathon'],)"
14th IAAF World Championships,CHI,F,https://www.worldathletics.org/athletes/chile/erika-alejandra-de-la-fuente-14269220,DNF,Erika Alejandra DE LA FUENTE,"(None,)","(['Marathon'],)"
14th IAAF World Championships,ARG,F,https://www.worldathletics.org/athletes/argentina/maría-de-los-angeles-peralta-14272611,DNF,María PERALTA,"(None,)","(['Marathon'],)"
14th IAAF World Championships,MNE,F,https://www.worldathletics.org/athletes/montenegro/slađana-perunović-14383719,DNF,Sladana PERUNOVIC,"(None,)","(['Marathon'],)"
14th IAAF World Championships,VEN,F,https://www.worldathletics.org/athletes/venezuela/yolimar-pineda-14325191,DNF,Yolimar PINEDA,"(None,)","(['Marathon'],)"
14th IAAF World Championships,ETH,F,https://www.worldathletics.org/athletes/ethiopia/boru-feyse-tadese-14383047,DNF,Feyse TADESE,"(None,)","(['Marathon'],)"
14th IAAF World Championships,ECU,F,https://www.worldathletics.org/athletes/ecuador/rosa-chacha-14262327,DNS,Rosa CHACHA,"(None,)","(['Marathon'],)"
14th IAAF World Championships,SUI,F,https://www.worldathletics.org/athletes/switzerland/patrizia-morceli-bühler-14301033,DNS,Patricia MORCELI BÜHLER,"(None,)","(['Marathon'],)"
