competition,country,link,mark,name,position
maratonafem2004,GRE,https://www.worldathletics.org/athletes/greece/georgia-ambatzidou-14280488,2:50:01,Yeoryía ABATZÍDOU,50
maratonafem2004,NZL,https://www.worldathletics.org/athletes/new-zealand/liza-hunter-galvan-14293012,2:50:23,Liza HUNTER-GALVAN,51
maratonafem2004,FRA,https://www.worldathletics.org/athletes/france/hafida-gadi-14257429,2:50:29,Hafida GADI,52
maratonafem2004,TJK,https://www.worldathletics.org/athletes/tajikistan/gulsara-dadabayeva-14302747,2:50:45,Gulsara DADABAEVA,53
maratonafem2004,RWA,https://www.worldathletics.org/athletes/rwanda/epiphanie-nyirabarame-14299956,2:52:50,Epiphanie NYIRABARAME,54
maratonafem2004,ARG,https://www.worldathletics.org/athletes/argentina/sandra-torres-14272576,2:54:48,Sandra TORRES,55
maratonafem2004,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/bun-hui-jo-14295177,2:55:54,Bun-Hui JO,56
maratonafem2004,TPE,https://www.worldathletics.org/athletes/chinese-taipei/yu-fang-hsu-14302840,2:55:58,Yu-Fang HSU,57
maratonafem2004,CHI,https://www.worldathletics.org/athletes/chile/erika-alejandra-de-la-fuente-14269220,2:57:14,Erika Alejandra DE LA FUENTE,58
maratonafem2004,CUB,https://www.worldathletics.org/athletes/cuba/mariela-gonzález-14263555,3:02:20,Mariela GONZÁLEZ,59
maratonafem2004,HUN,https://www.worldathletics.org/athletes/hungary/ida-kovács-14281880,3:03:21,Ida KOVÁCS,60
maratonafem2004,MDA,https://www.worldathletics.org/athletes/moldova/svetlana-shepeleva-tkach-14290924,3:03:29,Svetlana TKACH-SHEPELEVA,61
maratonafem2004,POR,https://www.worldathletics.org/athletes/portugal/ana-dias-14294853,3:08:11,Ana DIAS,62
maratonafem2004,LTU,https://www.worldathletics.org/athletes/lithuania/inga-juodeškiené-14290253,3:09:18,Inga JUODEŠKIENÉ,63
maratonafem2004,LES,https://www.worldathletics.org/athletes/lesotho/mamokete-lechela-14290140,3:11:56,Mamokete LECHELA,64
maratonafem2004,TLS,https://www.worldathletics.org/athletes/timor-leste/agueda-fatima-amaral-14282687,3:18:25,Agueda AMARAL,65
maratonafem2004,MGL,https://www.worldathletics.org/athletes/mongolia/otgonbayar-luvsanlkhundeg-14291305,3:48:42,Otgonbayar LUVSANLUNDEG,66
maratonafem2004,ALG,https://www.worldathletics.org/athletes/algeria/nasria-azaidj-14272880,DNF,Leila BAGHDAD,"(None,)"
maratonafem2004,KGZ,https://www.worldathletics.org/athletes/kirghizistan/irina-bogachova-14289544,DNF,Irina BOGACHOVA,"(None,)"
maratonafem2004,ITA,https://www.worldathletics.org/athletes/bahrain/nadia-ejjafini-14268776,DNF,Nadia EJJAFINI,"(None,)"
maratonafem2004,BRA,https://www.worldathletics.org/athletes/brazil/marlene-teixeria-fortunato-14269041,DNF,Marlene FORTUNATO,"(None,)"
maratonafem2004,ETH,https://www.worldathletics.org/athletes/ethiopia/asha-gigi-14259834,DNF,Asha GIGI,"(None,)"
maratonafem2004,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/bong-sil-ham-14295163,DNF,Bong-Sil HAM,"(None,)"
maratonafem2004,TAN,https://www.worldathletics.org/athletes/tanzania/banuelia-katesigwa-14302612,DNF,Banuelia KATESIGWA,"(None,)"
maratonafem2004,GER,https://www.worldathletics.org/athletes/germany/ulrike-maisch-14278765,DNF,Ulrike MAISCH,"(None,)"
maratonafem2004,FRA,https://www.worldathletics.org/athletes/france/rakiya-maraoui-quetier-14273008,DNF,Rakiya MARAOUI-QUETIER,"(None,)"
maratonafem2004,BRA,https://www.worldathletics.org/athletes/brazil/márcia-narloch-14268944,DNF,Márcia NARLOCH,"(None,)"
maratonafem2004,KEN,https://www.worldathletics.org/athletes/kenya/margaret-okayo-14289395,DNF,Margaret OKAYO,"(None,)"
maratonafem2004,TUR,https://www.worldathletics.org/athletes/turkey/lale-öztürk-14303312,DNF,Lale ÖZTÜRK,"(None,)"
maratonafem2004,GBR,https://www.worldathletics.org/athletes/great-britain-ni/paula-radcliffe-14276130,DNF,Paula RADCLIFFE,"(None,)"
maratonafem2004,ROU,https://www.worldathletics.org/athletes/romania/lidia-şimon-14295968,DNF,Lidia SIMON,"(None,)"
maratonafem2004,POL,https://www.worldathletics.org/athletes/poland/monika-stefanowicz-14293585,DNF,Monika STEFANOWICZ,"(None,)"
maratonafem2004,ETH,https://www.worldathletics.org/athletes/ethiopia/workenesh-tola-14259714,DNF,Workenesh TOLA,"(None,)"
